排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2883,開發金,"260,209,052","54,441",17.35,18.40,17.35,18.25,+,0.90,18.20,18.25
2,2888,新光金,"212,909,964","26,531",10.90,11.25,10.75,11.10,+,0.15,11.05,11.10
3,2409,友達,"179,577,097","41,590",22.70,23.10,22.60,22.85,+,0.35,22.80,22.85
4,2614,東森,"177,903,839","83,457",41.65,42.80,38.65,39.50,-,1.85,39.45,39.50
5,2834,臺企銀,"119,452,181","19,565",10.20,10.65,10.10,10.50,+,0.30,10.50,10.55
6,2610,華航,"107,264,604","25,922",26.55,26.75,26.10,26.30,-,0.05,26.30,26.35
7,3481,群創,"98,469,969","23,801",19.05,19.30,18.90,18.95,-,0.10,18.95,19.00
8,2882,國泰金,"98,029,871","32,000",62.50,64.90,62.10,64.50,+,2.40,64.50,64.60
9,2603,長榮,"97,937,241","46,430",136.00,137.50,133.50,134.00,-,2.50,134.00,134.50
10,00632R,元大台灣50反1,"96,074,483","4,011",5.11,5.16,5.10,5.11,,0.00,5.11,5.12
11,2891,中信金,"87,909,585","21,512",26.25,27.40,26.25,27.40,+,1.00,27.35,27.40
12,2881,富邦金,"80,209,890","35,881",76.80,79.90,76.40,79.90,+,3.50,79.80,79.90
13,2812,台中銀,"77,784,972","16,823",12.95,14.00,12.95,13.60,+,0.70,13.55,13.60
14,2498,宏達電,"76,890,147","41,085",78.50,78.90,71.80,72.30,-,7.30,72.20,72.30
15,3714,富采,"72,641,612","44,868",94.00,96.50,91.20,92.70,-,1.50,92.60,92.70
16,2618,長榮航,"51,603,637","17,084",26.35,26.65,26.00,26.15,-,0.10,26.15,26.20
17,6443,元晶,"49,069,739","25,143",40.75,42.75,40.60,41.10,+,0.35,41.05,41.10
18,2887,台新金,"48,436,813","12,492",19.05,19.40,19.05,19.40,+,0.35,19.35,19.40
19,3583,辛耘,"45,772,301","27,308",109.50,114.00,101.00,103.00,-,7.50,102.50,103.00
20,2303,聯電,"44,373,034","20,115",62.30,62.50,61.90,62.10,,0.00,62.00,62.10
