排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"179,235,057","18,850",11.50,11.55,10.90,11.00,X,0.00,10.95,11.00
2,00632R,元大台灣50反1,"130,074,998","6,837",6.06,6.16,6.06,6.15,+,0.05,6.14,6.15
3,00637L,元大滬深300正2,"100,741,342","14,081",19.70,19.71,18.70,18.74,-,0.88,18.74,18.75
4,1524,耿鼎,"97,026,634","33,463",21.25,21.80,20.15,20.85,+,0.05,20.80,20.85
5,2603,長榮,"85,206,508","61,464",93.40,93.90,91.60,92.30,-,0.40,92.30,92.40
6,2498,宏達電,"84,053,140","39,876",61.00,61.50,59.00,60.90,+,0.40,60.80,60.90
7,2618,長榮航,"81,786,589","22,522",32.50,33.00,32.10,32.80,+,0.70,32.75,32.80
8,2303,聯電,"78,825,938","31,256",39.85,40.00,38.35,38.60,-,1.10,38.60,38.65
9,3062,建漢,"59,941,105","26,292",26.30,28.75,26.25,28.10,+,1.65,28.10,28.15
10,2609,陽明,"59,102,032","31,693",88.20,88.70,86.50,88.20,+,1.70,88.10,88.20
11,2409,友達,"50,650,261","12,363",15.40,15.50,14.70,14.75,-,0.80,14.70,14.75
12,2884,玉山金,"50,458,769","25,642",27.80,27.85,27.00,27.05,-,1.25,27.05,27.10
13,00673R,期元大S&P原油反1,"41,461,383","3,002",7.86,7.93,7.81,7.91,+,0.01,7.90,7.91
14,2610,華航,"38,534,113","12,782",23.50,23.60,22.95,23.25,,0.00,23.25,23.30
15,1522,堤維西,"34,065,007","17,314",33.00,34.15,30.85,31.00,-,0.75,31.00,31.05
16,1605,華新,"30,429,518","11,580",33.50,34.10,33.30,33.45,+,0.20,33.45,33.50
17,2883,開發金,"29,075,791","7,660",13.00,13.00,12.75,12.80,-,0.10,12.75,12.80
18,3504,揚明光,"27,881,293","17,749",92.50,92.70,84.50,87.90,+,1.60,87.80,87.90
19,3037,欣興,"26,993,165","18,495",159.50,160.00,152.50,153.00,-,4.50,153.00,153.50
20,00878,國泰永續高股息,"25,523,388","14,319",16.35,16.35,16.17,16.20,-,0.06,16.20,16.21
