排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"145,517,180","42,156",32.55,33.10,32.30,32.45,+,0.25,32.45,32.50
2,00632R,元大台灣50反1,"141,588,599","7,236",5.21,5.22,5.18,5.20,-,0.05,5.19,5.20
3,2834,臺企銀,"128,565,674","24,723",12.25,12.75,12.25,12.70,+,0.50,12.70,12.75
4,1708,東鹼,"104,671,175","45,557",50.50,51.00,47.70,50.60,+,0.65,50.50,50.60
5,2888,新光金,"102,730,651","17,762",10.75,10.95,10.70,10.90,+,0.30,10.85,10.90
6,2610,華航,"90,325,807","27,161",27.30,27.85,27.25,27.50,+,0.50,27.45,27.50
7,00637L,元大滬深300正2,"88,994,621","10,847",16.70,16.79,16.42,16.70,+,0.18,16.70,16.71
8,4919,新唐,"81,792,550","52,470",163.50,175.50,162.50,175.50,+,15.50,175.50,176.00
9,2371,大同,"73,227,964","20,735",35.00,36.45,34.80,36.20,+,1.20,36.15,36.20
10,2897,王道銀行,"72,152,982","12,957",10.60,11.00,10.20,11.00,+,1.00,11.00,0.00
11,2603,長榮,"68,992,130","29,152",143.50,145.00,141.50,143.50,+,1.00,143.00,143.50
12,2344,華邦電,"65,759,631","23,177",34.90,35.65,34.65,34.90,+,0.60,34.90,34.95
13,2891,中信金,"64,389,856","19,215",28.60,29.20,28.55,29.20,+,0.65,29.15,29.20
14,2303,聯電,"63,589,704","27,399",53.80,54.20,53.60,53.80,+,0.30,53.80,53.90
15,2409,友達,"62,145,825","12,713",21.25,21.40,21.10,21.30,+,0.15,21.25,21.30
16,2883,開發金,"60,018,794","20,478",18.85,19.05,18.85,19.00,+,0.25,18.95,19.00
17,2002,中鋼,"54,848,383","21,011",39.90,40.00,39.60,40.00,+,0.20,39.95,40.00
18,6235,華孚,"50,499,460","22,815",37.55,40.40,37.05,38.80,+,1.45,38.80,38.85
19,2887,台新金,"50,247,595","13,012",19.95,20.35,19.90,20.25,+,0.45,20.25,20.30
20,00893,國泰智能電動車,"47,529,207","11,941",14.67,14.78,14.67,14.75,+,0.40,14.74,14.75
