排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2344,華邦電,"229,670,545","77,077",32.00,34.05,31.85,34.00,+,2.35,33.95,34.00
2,2610,華航,"144,940,569","35,549",26.90,27.60,26.85,27.55,+,0.80,27.50,27.55
3,00632R,元大台灣50反1,"120,143,196","3,552",5.12,5.14,5.10,5.10,-,0.01,5.10,5.11
4,2883,開發金,"116,446,455","26,041",17.55,17.60,17.35,17.50,-,0.10,17.45,17.50
5,3481,群創,"115,212,511","24,466",19.50,19.80,19.45,19.60,+,0.20,19.55,19.60
6,2883B,開發金乙特,"90,022,454","12,552",9.39,9.68,9.22,9.59,X,0.00,9.58,9.59
7,2603,長榮,"84,722,171","37,029",145.00,145.00,141.00,142.50,-,1.50,142.00,142.50
8,2409,友達,"84,382,942","17,830",22.80,23.15,22.75,22.90,+,0.15,22.90,22.95
9,2323,中環,"83,798,963","8,219",11.45,11.45,11.45,11.45,+,1.00,11.45,0.00
10,2609,陽明,"82,365,967","37,965",124.50,125.00,120.00,121.00,-,3.50,120.50,121.00
11,2618,長榮航,"79,867,093","22,685",27.55,27.95,27.25,27.95,+,0.70,27.90,27.95
12,1560,中砂,"74,963,878","42,769",119.00,126.50,118.00,121.00,+,3.50,120.50,121.00
13,3094,聯傑,"71,310,793","36,004",47.60,50.00,46.20,46.90,+,0.85,46.90,46.95
14,1314,中石化,"71,073,940","18,104",13.10,13.35,13.00,13.15,+,0.30,13.15,13.20
15,2888,新光金,"69,372,087","10,045",11.15,11.20,11.00,11.05,-,0.05,11.00,11.05
16,6235,華孚,"60,720,934","25,321",35.50,38.80,35.35,38.80,+,3.50,38.80,0.00
17,2340,台亞,"59,175,155","32,097",74.20,74.50,70.40,71.10,-,3.50,71.10,71.20
18,2338,光罩,"58,901,348","33,562",105.50,113.50,105.50,108.00,+,4.00,108.00,108.50
19,3049,和鑫,"58,178,760","18,501",17.75,17.80,17.10,17.25,-,0.70,17.25,17.30
20,2457,飛宏,"57,313,476","29,389",51.00,53.10,50.20,50.30,-,0.30,50.30,50.40
