排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"242,698,037","9,505",5.61,5.73,5.58,5.72,+,0.05,5.72,5.73
2,2603,長榮,"195,221,433","91,675",130.00,130.50,119.00,119.50,-,8.50,119.50,120.00
3,3037,欣興,"126,625,079","76,419",182.50,184.50,165.50,165.50,-,17.50,165.50,166.00
4,2618,長榮航,"104,505,827","32,841",33.20,33.25,31.30,31.45,-,0.65,31.45,31.50
5,6235,華孚,"93,817,520","42,946",44.45,47.65,41.90,41.95,-,1.40,41.95,42.00
6,00637L,元大滬深300正2,"91,332,089","12,960",18.20,18.25,17.78,17.81,-,0.47,17.81,17.82
7,1524,耿鼎,"85,432,107","33,551",20.95,22.30,20.25,21.10,+,0.80,21.05,21.10
8,2609,陽明,"84,576,065","45,781",123.50,124.50,117.00,117.00,-,5.00,117.00,117.50
9,2610,華航,"74,029,185","27,067",25.60,25.70,24.50,24.50,-,0.55,24.50,24.55
10,2891,中信金,"71,511,488","16,010",26.65,27.00,26.40,26.60,+,0.30,26.55,26.60
11,1605,華新,"69,134,123","30,980",44.00,44.35,41.55,41.55,-,1.50,41.55,41.60
12,3481,群創,"66,521,856","10,413",13.80,13.90,13.30,13.40,-,0.30,13.35,13.40
13,2303,聯電,"65,503,334","22,860",50.50,50.80,49.05,49.10,-,0.55,49.10,49.15
14,2888,新光金,"65,306,521","12,503",9.30,9.38,9.07,9.10,-,0.08,9.09,9.10
15,0056,元大高股息,"64,866,086","45,568",30.54,30.60,29.89,29.94,-,0.45,29.94,29.95
16,2883,開發金,"58,457,535","16,880",15.65,15.75,15.20,15.25,-,0.25,15.25,15.30
17,2371,大同,"55,265,190","17,979",36.70,36.70,33.85,34.20,-,2.50,34.15,34.20
18,2409,友達,"51,448,486","10,802",17.50,17.60,16.90,17.10,-,0.30,17.05,17.10
19,2834,臺企銀,"51,307,181","8,321",12.40,12.60,12.15,12.20,-,0.05,12.20,12.25
20,058461,臺股指元大1B購10,"47,697,000",587,0.14,0.16,0.11,0.11,-,0.02,0.10,0.11
