排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"813,534,568","200,629",21.80,22.50,19.80,19.90,-,1.25,19.90,19.95
2,2618,長榮航,"663,873,901","176,325",23.00,23.80,21.15,21.15,-,0.95,21.15,21.20
3,2002,中鋼,"312,181,508","95,446",34.95,37.00,34.80,36.15,+,1.85,36.15,36.20
4,3481,群創,"261,396,185","55,862",21.30,21.45,20.65,20.85,+,0.10,20.80,20.85
5,2014,中鴻,"259,146,559","70,117",48.30,51.70,48.20,51.70,+,4.70,51.70,0.00
6,2409,友達,"252,215,380","60,169",23.90,24.15,22.90,23.50,+,0.40,23.45,23.50
7,2208,台船,"251,643,901","97,707",32.15,33.80,30.90,31.25,+,0.15,31.25,31.30
8,2606,裕民,"239,105,745","100,283",83.10,83.10,76.50,82.70,+,7.10,82.60,82.70
9,2883,開發金,"236,122,079","30,450",12.35,13.00,12.35,12.65,+,0.50,12.65,12.70
10,2637,慧洋-KY,"204,740,342","90,242",99.40,99.70,91.20,99.70,+,9.00,99.70,0.00
11,2615,萬海,"192,565,780","105,453",267.00,273.00,251.00,251.00,+,2.00,250.50,251.00
12,2603,長榮,"146,871,605","86,744",158.50,160.00,149.00,153.50,+,1.50,153.50,154.00
13,2617,台航,"135,210,153","65,248",63.00,63.00,57.30,62.10,+,4.80,62.10,62.20
14,6116,彩晶,"134,602,092","37,590",23.10,23.30,22.00,22.05,-,0.35,22.05,22.10
15,2027,大成鋼,"116,786,005","50,583",45.00,48.00,44.80,48.00,+,4.20,47.95,48.00
16,1905,華紙,"112,199,623","43,802",29.05,30.50,28.00,28.30,+,0.30,28.30,28.35
17,2609,陽明,"106,624,596","72,879",162.00,163.00,152.00,154.50,-,4.00,154.00,154.50
18,2023,燁輝,"106,210,816","22,426",22.75,24.30,22.65,24.30,+,2.20,24.30,0.00
19,2605,新興,"103,527,800","37,882",39.90,39.90,38.00,39.90,+,3.60,39.90,0.00
20,00632R,元大台灣50反1,"97,661,131","3,826",5.70,5.75,5.69,5.74,-,0.01,5.74,5.75
