排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"352,323,536","41,667",34.20,34.65,33.75,34.10,-,0.10,34.10,34.15
2,1605,華新,"349,279,183","60,630",47.10,48.20,46.70,47.10,-,0.10,47.10,47.15
3,2610,華航,"302,421,463","24,506",26.85,27.10,26.55,27.10,+,0.30,27.05,27.10
4,6770,力積電,"260,805,462","17,642",58.20,58.80,57.70,57.80,-,0.30,57.80,57.90
5,2891,中信金,"236,161,970","20,428",26.80,27.15,26.30,27.15,+,0.05,27.15,27.20
6,2883,開發金,"147,486,790","15,232",16.15,16.20,15.90,16.20,+,0.05,16.20,16.25
7,00632R,元大台灣50反1,"140,397,781","7,930",5.50,5.52,5.45,5.45,-,0.03,5.44,5.45
8,3481,群創,"124,659,979","11,597",14.20,14.20,13.90,13.95,-,0.20,13.95,14.00
9,00637L,元大滬深300正2,"124,410,448","13,807",15.71,16.23,15.61,16.23,+,0.52,16.22,16.23
10,6235,華孚,"110,944,634","51,472",44.80,46.20,44.15,45.90,+,1.25,45.75,45.90
11,2354,鴻準,"98,430,744","12,706",54.30,56.10,53.70,54.60,+,0.30,54.60,54.70
12,2317,鴻海,"98,246,343","35,106",111.00,113.00,110.00,113.00,+,2.50,113.00,113.50
13,2409,友達,"93,627,675","10,080",17.50,18.00,17.20,18.00,+,0.60,18.00,18.05
14,2885,元大金,"93,244,846","9,295",23.80,24.35,23.55,24.35,+,0.45,24.35,24.40
15,2303,聯電,"91,174,553","26,053",50.90,51.50,50.70,51.40,+,0.40,51.30,51.40
16,2603,長榮,"86,696,376","35,643",145.00,146.00,140.50,140.50,-,3.50,140.50,141.00
17,2881,富邦金,"85,596,400","14,573",63.50,64.20,62.50,64.10,+,0.90,64.00,64.10
18,2892,第一金,"82,475,268","7,353",26.80,27.35,26.45,27.35,+,0.40,27.35,27.40
19,2330,台積電,"81,962,870","34,286",542.00,560.00,540.00,560.00,+,13.00,559.00,560.00
20,5880,合庫金,"64,072,674","5,539",28.15,28.15,27.80,28.15,-,0.05,28.05,28.15
