排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"164,164,905","7,466",5.82,5.84,5.79,5.81,-,0.12,5.80,5.81
2,2498,宏達電,"76,462,485","36,205",62.10,64.70,62.00,63.30,+,2.50,63.20,63.30
3,2303,聯電,"69,020,816","24,580",40.00,40.95,40.00,40.15,+,0.85,40.15,40.20
4,2618,長榮航,"67,381,750","19,133",33.60,34.10,33.55,33.90,+,0.75,33.90,33.95
5,2609,陽明,"66,946,705","33,823",68.70,72.30,68.10,71.00,+,3.20,71.00,71.10
6,2834,臺企銀,"62,851,440","14,803",12.85,12.85,12.60,12.70,-,0.25,12.70,12.75
7,3481,群創,"57,894,840","10,512",12.15,12.40,12.05,12.10,+,0.05,12.10,12.15
8,2610,華航,"54,015,974","14,788",22.15,22.60,22.15,22.40,+,0.50,22.35,22.40
9,2367,燿華,"46,170,255","16,124",23.75,24.00,23.05,23.30,-,0.45,23.25,23.30
10,6443,元晶,"44,026,335","22,818",41.50,42.35,41.00,41.05,+,0.05,41.05,41.10
11,00637L,元大滬深300正2,"40,226,937","3,982",16.71,16.75,16.45,16.47,+,0.09,16.47,16.48
12,2409,友達,"38,834,848","9,753",17.50,17.60,17.25,17.25,-,0.10,17.25,17.30
13,00673R,期元大S&P原油反1,"36,466,549","2,634",8.76,8.80,8.72,8.79,-,0.26,8.78,8.79
14,3047,訊舟,"34,032,109","11,903",18.45,18.90,17.85,18.80,+,0.60,18.75,18.80
15,2888,新光金,"33,610,598","9,188",8.68,8.74,8.63,8.69,+,0.12,8.68,8.69
16,00878,國泰永續高股息,"33,382,551","11,799",17.12,17.14,17.01,17.10,+,0.16,17.10,17.11
17,2885,元大金,"32,686,833","6,517",20.85,21.10,20.70,20.90,+,0.30,20.85,20.90
18,2891,中信金,"32,500,402","7,224",23.20,23.25,22.90,22.90,,0.00,22.90,22.95
19,2882,國泰金,"30,799,019","9,375",43.85,44.10,43.60,44.05,+,0.90,44.05,44.10
20,00715L,期街口布蘭特正2,"30,093,641","3,625",17.25,17.32,17.09,17.24,+,0.97,17.24,17.25
