排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2409,友達,"431,050,123","78,699",18.30,19.35,18.25,19.15,+,1.55,19.10,19.15
2,3481,群創,"356,776,348","62,783",16.00,16.80,15.85,16.25,+,0.90,16.25,16.30
3,2303,聯電,"274,100,496","100,345",60.70,61.10,59.80,59.80,-,2.10,59.80,59.90
4,6116,彩晶,"135,374,248","28,570",14.00,14.95,13.95,14.00,+,0.30,14.00,14.05
5,3037,欣興,"133,831,775","69,668",176.00,181.50,173.00,178.50,+,7.00,178.00,178.50
6,3062,建漢,"124,849,703","48,628",25.50,26.60,25.10,25.55,+,0.80,25.55,25.60
7,2603,長榮,"121,806,889","56,743",93.10,96.50,93.10,93.20,+,0.40,93.20,93.30
8,6282,康舒,"91,633,552","40,114",32.45,33.30,31.30,32.20,+,0.25,32.15,32.20
9,2609,陽明,"85,763,452","43,364",89.40,93.50,89.40,90.60,+,1.30,90.60,90.70
10,2312,金寶,"70,649,086","17,779",13.80,13.90,12.85,12.85,-,0.90,12.85,12.95
11,3035,智原,"65,008,206","38,065",185.00,196.50,180.50,196.50,+,17.50,196.50,0.00
12,00715L,期街口布蘭特正2,"64,514,186","9,185",11.56,11.56,11.16,11.38,-,0.74,11.38,11.39
13,2371,大同,"64,112,602","24,594",34.70,35.40,34.40,34.70,,0.00,34.65,34.70
14,2610,華航,"61,753,581","14,020",16.25,17.05,16.15,16.95,+,0.75,16.90,16.95
15,00632R,元大台灣50反1,"54,554,771","2,380",5.52,5.55,5.50,5.52,+,0.01,5.52,5.53
16,2340,光磊,"52,180,254","25,343",41.45,43.50,41.00,43.30,+,1.80,43.10,43.30
17,2337,旺宏,"50,107,222","23,106",38.45,39.50,38.20,39.20,+,1.10,39.15,39.20
18,2618,長榮航,"41,140,579","8,487",18.15,18.75,18.10,18.60,+,0.45,18.60,18.65
19,2481,強茂,"39,951,595","25,557",108.00,112.00,106.00,107.50,+,0.50,107.00,107.50
20,2615,萬海,"36,464,445","19,811",155.00,160.50,153.00,153.50,+,0.50,153.50,154.00
