排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"354,012,051","12,842",5.77,5.80,5.68,5.68,-,0.01,5.68,5.69
2,2888,新光金,"145,344,597","15,767",9.00,9.22,8.96,9.18,+,0.09,9.18,9.19
3,2618,長榮航,"122,253,362","38,205",34.10,35.70,34.00,35.70,+,0.70,35.65,35.70
4,00637L,元大滬深300正2,"118,191,692","13,424",14.45,15.18,14.21,14.96,+,0.40,14.96,14.97
5,2603,長榮,"115,425,361","50,822",143.00,150.50,142.50,149.00,+,2.00,149.00,149.50
6,2610,華航,"103,193,463","33,961",27.10,27.90,27.10,27.85,-,0.05,27.85,27.90
7,1605,華新,"97,391,610","38,434",37.55,39.60,37.40,38.25,-,0.55,38.25,38.30
8,00673R,期元大S&P原油反1,"96,021,586","7,282",8.15,8.31,8.15,8.17,+,0.49,8.17,8.18
9,2409,友達,"86,033,505","18,083",16.90,17.40,16.85,17.40,+,0.10,17.35,17.40
10,2303,聯電,"85,245,939","32,825",47.00,48.90,46.85,48.90,+,1.00,48.85,48.90
11,2883,開發金,"78,780,011","22,625",16.45,16.85,16.30,16.70,-,0.15,16.70,16.75
12,00893,國泰智能電動車,"73,339,078","21,065",12.43,12.57,12.28,12.56,-,0.48,12.56,12.57
13,2834,臺企銀,"73,222,738","13,092",11.45,12.05,11.40,11.90,+,0.25,11.85,11.90
14,3481,群創,"64,084,943","14,171",13.35,14.00,13.30,13.80,+,0.15,13.80,13.85
15,00878,國泰永續高股息,"59,279,110","27,832",18.23,18.37,18.11,18.34,,0.00,18.33,18.34
16,2884,玉山金,"59,166,933","15,945",29.50,30.60,29.20,30.35,-,0.35,30.35,30.40
17,1708,東鹼,"59,129,968","27,507",58.90,59.00,55.10,55.40,-,4.60,55.40,55.50
18,2891,中信金,"58,810,745","17,961",26.90,27.80,26.80,27.55,+,0.25,27.55,27.60
19,2609,陽明,"56,161,237","26,685",123.00,128.00,122.50,127.50,+,1.50,127.50,128.00
20,2887,台新金,"52,210,918","18,786",17.25,17.65,17.05,17.50,-,0.35,17.50,17.55
