排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"175,136,340","6,799",5.53,5.56,5.51,5.55,+,0.04,5.54,5.55
2,2618,長榮航,"157,287,837","52,627",35.75,36.30,35.25,35.50,-,0.15,35.50,35.55
3,3481,群創,"116,088,283","21,292",13.65,14.30,13.60,14.20,+,0.55,14.20,14.25
4,1605,華新,"99,104,605","42,982",45.00,45.20,43.10,43.10,-,1.70,43.10,43.15
5,2610,華航,"90,340,935","30,497",27.95,28.60,27.80,28.05,+,0.20,28.05,28.10
6,2303,聯電,"84,742,931","37,907",47.70,48.50,47.10,47.25,-,0.55,47.20,47.25
7,2603,長榮,"71,040,875","26,891",146.00,146.50,144.00,146.50,+,1.50,146.00,146.50
8,2409,友達,"56,748,928","13,430",17.05,17.70,16.95,17.70,+,0.55,17.65,17.70
9,00637L,元大滬深300正2,"55,037,295","7,586",15.94,16.17,15.69,16.06,-,0.04,16.06,16.07
10,2888,新光金,"48,971,964","11,609",9.84,9.84,9.75,9.75,-,0.08,9.75,9.76
11,6443,元晶,"39,306,249","18,776",43.90,43.95,42.30,43.10,-,1.05,43.10,43.15
12,2609,陽明,"35,870,547","17,934",126.50,127.00,124.50,126.50,+,0.50,126.00,126.50
13,2883,開發金,"33,845,044","14,097",17.85,17.90,17.60,17.70,-,0.25,17.70,17.75
14,00673R,期元大S&P原油反1,"32,653,333","1,612",8.00,8.06,7.99,8.04,+,0.06,8.04,8.05
15,2884,玉山金,"31,391,742","21,563",33.60,33.65,32.60,32.70,-,1.15,32.70,32.75
16,2330,台積電,"29,502,561","48,050",538.00,540.00,530.00,531.00,-,7.00,531.00,532.00
17,1708,東鹼,"28,201,758","13,386",58.70,59.50,56.90,57.90,-,0.80,57.80,58.00
18,1717,長興,"27,598,396","14,013",38.50,39.50,38.05,38.30,+,0.30,38.30,38.35
19,00878,國泰永續高股息,"27,384,578","15,526",18.82,18.82,18.69,18.75,-,0.07,18.75,18.76
20,2891,中信金,"25,226,134","13,198",29.10,29.20,28.75,28.75,-,0.50,28.75,28.80
