排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"437,746,292","89,592",26.40,26.75,25.75,26.00,+,1.25,26.00,26.05
2,2303,聯電,"278,039,788","82,636",64.30,65.20,63.70,63.70,+,1.30,63.70,63.80
3,2618,長榮航,"221,518,314","55,168",25.00,26.05,24.65,25.20,+,1.45,25.20,25.25
4,2409,友達,"209,507,271","34,380",20.90,21.05,20.10,20.10,-,0.55,20.10,20.15
5,3481,群創,"198,365,660","53,071",18.05,18.10,17.40,17.45,-,0.40,17.45,17.50
6,2344,華邦電,"133,516,987","53,174",31.55,32.85,31.45,32.05,+,1.15,32.00,32.05
7,2603,長榮,"121,192,911","43,864",123.50,125.00,122.50,124.50,+,4.50,124.00,124.50
8,2883,開發金,"109,895,370","20,748",16.30,16.45,16.05,16.40,+,0.20,16.40,16.45
9,00715L,期街口布蘭特正2,"99,782,979","11,205",9.29,9.32,8.93,8.93,-,0.32,8.92,8.93
10,00632R,元大台灣50反1,"97,331,382","4,133",5.39,5.43,5.35,5.42,-,0.01,5.41,5.42
11,2888,新光金,"88,533,284","15,120",10.75,10.80,10.55,10.55,-,0.10,10.55,10.60
12,2498,宏達電,"85,762,864","44,265",80.50,82.50,77.50,77.50,-,0.50,77.50,77.60
13,2609,陽明,"84,391,288","31,126",113.50,115.50,112.50,115.50,+,5.50,115.00,115.50
14,4919,新唐,"83,274,509","53,986",158.00,164.50,155.00,155.50,-,0.50,155.50,156.00
15,2887,台新金,"80,818,891","8,449",18.20,18.60,18.15,18.60,+,0.40,18.55,18.60
16,2371,大同,"80,271,920","14,258",35.65,36.00,35.15,35.60,+,0.60,35.55,35.60
17,6239,力成,"79,197,205","9,632",102.00,102.00,99.10,99.10,+,1.90,99.10,99.40
18,2891,中信金,"77,217,749","6,999",24.25,24.50,24.20,24.40,+,0.10,24.35,24.40
19,2353,宏碁,"75,639,984","20,964",28.10,29.00,27.70,27.70,-,0.10,27.70,27.75
20,2885,元大金,"69,353,102","7,347",24.25,24.50,23.70,23.70,-,0.60,23.70,23.75
