排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"145,948,204","28,847",15.55,15.60,15.15,15.45,-,0.15,15.45,15.50
2,2498,宏達電,"141,699,876","50,689",46.30,48.25,46.00,48.25,+,4.35,48.25,0.00
3,2303,聯電,"131,728,583","47,880",58.10,59.10,57.40,58.00,-,0.70,58.00,58.10
4,2888,新光金,"102,507,624","13,720",9.92,10.00,9.91,9.91,+,0.04,9.91,9.92
5,0056,元大高股息,"99,076,318","36,680",32.38,32.43,32.29,32.40,+,0.03,32.39,32.40
6,00632R,元大台灣50反1,"93,618,917","5,323",5.56,5.59,5.52,5.58,,0.00,5.58,5.59
7,2603,長榮,"90,810,440","44,679",92.50,94.20,91.90,92.20,+,0.80,92.20,92.30
8,2409,友達,"89,449,955","19,472",17.00,17.20,16.70,17.20,+,0.20,17.15,17.20
9,1727,中華化,"82,465,907","36,994",49.25,51.00,46.50,48.80,+,1.30,48.70,48.80
10,2481,強茂,"68,630,741","40,584",98.40,105.50,98.00,100.50,+,3.70,100.50,101.00
11,2891,中信金,"63,056,653","10,988",23.05,23.40,23.00,23.40,+,0.40,23.35,23.40
12,3035,智原,"61,411,939","34,198",152.50,157.50,150.50,151.50,-,2.00,151.50,152.00
13,2615,萬海,"53,298,019","26,291",161.50,167.00,159.00,159.00,-,0.50,159.00,159.50
14,4919,新唐,"52,977,994","36,449",136.00,144.00,135.00,136.00,+,1.00,135.50,136.00
15,2609,陽明,"52,515,027","26,048",89.20,90.90,88.70,89.30,+,1.00,89.30,89.40
16,2406,國碩,"50,984,396","20,725",25.80,26.40,24.90,25.70,+,0.50,25.65,25.70
17,3037,欣興,"50,600,813","28,045",145.50,147.50,140.00,142.00,-,3.50,142.00,142.50
18,2371,大同,"47,862,726","17,215",34.00,34.75,33.55,34.70,+,0.85,34.65,34.70
19,2883,開發金,"47,527,716","7,223",14.15,14.25,14.10,14.15,,0.00,14.15,14.20
20,1710,東聯,"45,576,806","16,177",26.75,27.20,25.85,26.50,-,0.50,26.45,26.50
