排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"243,467,657","9,976",6.45,6.46,6.36,6.45,+,0.07,6.44,6.45
2,00878,國泰永續高股息,"95,201,530","57,949",15.91,15.97,15.86,15.87,-,0.17,15.87,15.88
3,00637L,元大滬深300正2,"78,174,430","8,832",15.70,15.70,15.24,15.26,-,0.61,15.26,15.27
4,2609,陽明,"74,996,120","38,236",61.00,64.70,60.60,63.50,+,2.00,63.50,63.60
5,2603,長榮,"68,807,955","31,306",146.00,154.00,145.50,149.50,+,3.50,149.00,149.50
6,1605,華新,"67,192,142","30,239",39.80,40.05,38.50,38.70,-,1.80,38.70,38.75
7,2610,華航,"64,255,232","18,299",19.40,20.05,19.30,19.65,,0.00,19.65,19.70
8,2303,聯電,"58,000,228","19,173",35.35,35.95,35.00,35.35,-,0.40,35.30,35.35
9,2618,長榮航,"54,443,025","20,202",27.65,28.70,27.50,28.00,-,0.20,28.00,28.05
10,6550,北極星藥業-KY,"52,849,563","28,440",126.00,132.50,119.00,119.50,-,8.50,119.50,120.00
11,2891,中信金,"48,766,484","13,826",19.80,19.95,19.60,19.70,-,0.15,19.70,19.75
12,3035,智原,"38,379,777","22,981",131.00,140.00,131.00,135.50,+,1.50,135.50,136.00
13,2330,台積電,"38,354,967","70,127",418.50,424.50,416.50,417.00,-,5.00,417.00,417.50
14,0056,元大高股息,"36,723,381","21,524",25.54,25.76,25.46,25.67,-,0.11,25.66,25.67
15,2615,萬海,"35,604,547","22,618",66.80,72.80,66.70,70.30,+,3.50,70.30,70.40
16,2388,威盛,"35,314,822","20,905",77.50,79.20,74.20,75.30,-,3.70,75.30,75.40
17,00671R,富邦NASDAQ反1,"32,994,287","1,424",6.80,6.82,6.74,6.79,+,0.18,6.78,6.79
18,2888,新光金,"32,777,619","6,923",8.16,8.17,8.08,8.09,-,0.12,8.09,8.10
19,3025,星通,"32,192,756","17,782",24.60,26.65,24.30,26.20,+,1.60,26.15,26.20
20,00664R,國泰臺灣加權反1,"32,152,644",889,7.29,7.30,7.19,7.29,+,0.08,7.29,7.30
