排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2888,新光金,"450,759,611","57,619",11.90,12.15,11.55,11.80,-,0.15,11.75,11.80
2,2883,開發金,"248,029,730","54,902",18.65,19.35,18.55,18.85,+,0.20,18.80,18.85
3,2603,長榮,"139,530,283","56,745",126.50,132.00,124.00,132.00,+,6.00,131.50,132.00
4,2610,華航,"120,010,081","29,711",25.25,25.75,25.00,25.55,+,0.45,25.50,25.55
5,00632R,元大台灣50反1,"115,478,886","5,196",5.05,5.12,5.04,5.07,+,0.02,5.07,5.08
6,2897,王道銀行,"112,851,981","26,250",9.05,9.75,8.93,9.00,-,0.14,9.00,9.01
7,2330,台積電,"98,768,193","83,211",673.00,673.00,661.00,672.00,+,11.00,671.00,672.00
8,2409,友達,"97,122,495","24,157",22.20,22.25,21.65,22.00,-,0.40,21.95,22.00
9,2303,聯電,"92,692,964","40,502",63.50,63.50,62.20,62.70,-,0.60,62.70,62.80
10,2887,台新金,"84,964,025","28,820",20.55,20.90,20.10,20.55,+,0.05,20.50,20.55
11,3481,群創,"79,253,221","19,730",18.60,18.65,18.20,18.55,-,0.15,18.50,18.55
12,2891,中信金,"78,081,273","29,157",28.40,28.65,27.70,27.90,-,0.55,27.85,27.90
13,2882,國泰金,"78,064,274","32,964",67.00,68.40,66.50,67.70,+,0.30,67.60,67.70
14,00900,富邦特選高股息30,"77,804,119","30,848",15.05,15.05,14.95,14.98,-,0.07,14.97,14.98
15,1732,毛寶,"73,068,609","37,294",48.35,53.00,46.70,47.70,-,0.60,47.65,47.70
16,2498,宏達電,"67,462,995","34,625",70.20,70.40,66.20,69.00,-,2.00,68.90,69.00
17,2614,東森,"63,634,201","34,004",41.00,41.50,39.00,39.00,-,2.70,39.00,39.05
18,2867,三商壽,"62,503,537","14,655",9.59,10.20,9.52,9.92,+,0.30,9.92,9.93
19,2834,臺企銀,"61,022,473","14,161",10.85,10.95,10.60,10.75,-,0.10,10.70,10.75
20,00637L,元大滬深300正2,"60,565,520","9,675",20.50,20.50,20.10,20.25,-,0.57,20.25,20.26
