排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2303,聯電,"402,133,363","186,194",56.40,58.50,56.10,57.30,-,4.20,57.30,57.40
2,00632R,元大台灣50反1,"176,863,683","6,685",5.26,5.27,5.23,5.27,+,0.02,5.26,5.27
3,2409,友達,"80,758,126","19,857",19.80,20.25,19.75,20.15,+,0.55,20.15,20.20
4,2888,新光金,"77,773,548","10,629",10.95,11.10,10.90,11.05,+,0.10,11.00,11.05
5,2603,長榮,"77,410,499","35,639",111.00,114.50,111.00,113.00,+,3.00,113.00,113.50
6,2337,旺宏,"76,919,307","36,704",40.05,41.85,40.00,41.00,+,2.40,40.95,41.00
7,3481,群創,"72,823,538","19,377",16.70,17.00,16.70,16.95,+,0.30,16.95,17.00
8,2610,華航,"69,280,679","20,368",22.90,23.50,22.90,23.40,+,0.60,23.40,23.45
9,2883,開發金,"56,926,605","16,366",18.15,18.35,18.10,18.20,,0.00,18.15,18.20
10,3714,富采,"52,171,252","29,302",87.30,91.80,86.30,90.00,+,3.40,89.90,90.00
11,2609,陽明,"51,052,198","28,913",96.10,99.90,96.10,98.60,+,3.50,98.60,98.70
12,00893,國泰智能電動車,"48,719,699","20,593",14.54,14.63,14.47,14.59,-,0.26,14.59,14.60
13,2101,南港,"44,856,626","20,701",47.65,49.30,45.10,45.50,-,2.45,45.50,45.55
14,2498,宏達電,"43,341,062","19,533",62.20,64.50,62.20,63.80,+,1.20,63.80,63.90
15,00637L,元大滬深300正2,"41,865,736","7,914",20.20,20.52,19.92,20.05,-,0.36,20.05,20.06
16,1529,樂士,"37,080,068","16,376",24.40,26.50,24.30,26.50,+,1.55,26.45,26.50
17,2891,中信金,"35,656,156","10,043",27.25,27.85,27.25,27.60,+,0.35,27.55,27.60
18,2618,長榮航,"35,018,488","10,991",23.55,24.25,23.55,24.00,+,0.45,24.00,24.05
19,00676R,富邦臺灣加權反1,"33,956,500",593,3.27,3.28,3.25,3.28,+,0.01,3.27,3.28
20,2317,鴻海,"33,435,293","20,822",103.00,103.50,102.00,102.00,-,1.00,102.00,102.50
