排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"261,938,187","70,262",33.65,34.20,32.80,34.10,+,0.45,34.05,34.10
2,00632R,元大台灣50反1,"198,266,294","6,229",5.42,5.43,5.37,5.39,-,0.01,5.39,5.40
3,1708,東鹼,"172,718,761","78,543",71.40,71.50,61.70,66.80,-,1.00,66.80,66.90
4,2834,臺企銀,"163,890,840","44,169",13.95,14.00,13.55,13.70,-,0.55,13.70,13.75
5,2610,華航,"158,380,325","42,225",26.85,27.60,26.70,27.35,+,0.60,27.35,27.40
6,2303,聯電,"154,848,941","73,986",47.30,48.15,47.00,47.30,-,0.90,47.30,47.35
7,6443,元晶,"104,592,479","49,549",44.90,46.05,43.70,45.60,+,1.10,45.60,45.65
8,2344,華邦電,"90,122,366","33,413",28.00,28.10,26.90,27.45,-,0.65,27.40,27.45
9,1605,華新,"88,160,300","32,951",29.25,31.40,29.05,31.20,+,2.25,31.20,31.25
10,3481,群創,"83,237,751","19,783",15.30,15.70,15.15,15.40,-,0.05,15.40,15.45
11,2409,友達,"77,527,248","14,900",19.00,19.30,18.80,19.05,+,0.05,19.05,19.10
12,2603,長榮,"76,995,661","31,186",136.50,137.00,132.00,134.50,-,1.50,134.50,135.00
13,4133,亞諾法,"72,885,507","42,230",77.20,77.20,69.30,74.70,+,4.50,74.70,74.80
14,00637L,元大滬深300正2,"66,159,086","7,618",16.15,16.88,16.14,16.80,+,0.59,16.79,16.80
15,2888,新光金,"65,098,341","11,833",10.90,10.95,10.75,10.80,-,0.15,10.80,10.85
16,2609,陽明,"56,366,056","28,096",122.00,122.50,119.50,120.00,-,1.50,120.00,120.50
17,2030,彰源,"55,121,872","27,244",38.40,39.40,37.50,38.70,+,0.70,38.65,38.70
18,1712,興農,"54,905,799","26,794",38.20,39.50,35.15,36.70,-,1.95,36.65,36.70
19,2883,開發金,"54,640,685","22,787",19.65,19.65,19.45,19.55,-,0.20,19.55,19.60
20,2891,中信金,"54,279,211","14,392",30.50,30.75,30.35,30.70,+,0.25,30.65,30.70
