排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2371,大同,"311,205,809","82,218",33.00,34.80,31.85,34.80,+,3.15,34.80,0.00
2,1711,永光,"161,355,955","54,383",26.70,27.50,26.30,26.80,+,0.15,26.75,26.80
3,2409,友達,"138,330,162","23,205",17.15,17.15,16.60,16.85,-,0.10,16.85,16.90
4,2002,中鋼,"120,848,019","38,105",36.80,37.00,36.00,36.15,-,0.15,36.15,36.20
5,2303,聯電,"118,464,856","42,930",65.90,66.10,65.00,65.20,+,0.60,65.20,65.30
6,00632R,元大台灣50反1,"117,336,458","4,236",5.55,5.57,5.52,5.54,-,0.06,5.53,5.54
7,3481,群創,"114,498,462","24,659",16.65,16.65,16.10,16.30,-,0.20,16.30,16.35
8,2603,長榮,"79,065,199","31,697",128.00,129.50,127.00,127.50,+,2.50,127.50,128.00
9,2368,金像電,"75,870,558","40,872",75.70,78.90,74.00,75.20,+,1.20,75.20,75.30
10,1304,台聚,"72,448,483","32,356",36.60,38.95,36.50,37.90,+,1.45,37.85,37.90
11,1308,亞聚,"67,678,506","29,557",42.90,46.00,42.90,44.65,+,2.75,44.60,44.65
12,6282,康舒,"59,499,454","26,526",29.65,30.40,28.55,29.35,-,0.05,29.30,29.35
13,2609,陽明,"52,591,117","22,515",122.00,123.50,120.50,121.50,+,2.00,121.50,122.00
14,2883,開發金,"47,814,302","9,388",14.20,14.25,14.05,14.10,,0.00,14.10,14.15
15,2486,一詮,"47,762,669","25,949",56.00,59.90,55.60,59.90,+,5.30,59.80,59.90
16,9945,潤泰新,"46,410,318","25,588",61.50,62.60,59.50,61.10,X,0.00,61.10,61.20
17,00637L,元大滬深300正2,"43,714,662","8,100",20.15,20.54,19.90,19.95,-,0.06,19.95,19.96
18,2331,精英,"40,828,246","16,586",23.55,25.80,23.30,25.35,+,1.75,25.30,25.35
19,2888,新光金,"40,758,537","5,605",9.30,9.36,9.29,9.34,+,0.12,9.33,9.34
20,3017,奇鋐,"38,620,663","21,549",79.50,83.30,79.40,83.30,+,3.50,83.20,83.30
