排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"133,321,277","51,088",101.00,106.00,100.00,105.00,+,4.00,105.00,105.50
2,3047,訊舟,"106,920,203","30,851",14.50,15.85,14.40,15.25,+,0.80,15.25,15.30
3,6443,元晶,"98,968,523","51,744",36.35,37.60,36.20,36.60,+,0.90,36.55,36.60
4,00632R,元大台灣50反1,"79,890,395","4,326",5.79,5.82,5.74,5.76,-,0.01,5.76,5.77
5,1524,耿鼎,"77,380,596","33,765",25.00,26.50,24.80,25.90,+,0.65,25.90,25.95
6,2890,永豐金,"68,386,868","9,314",17.40,17.75,17.30,17.70,+,0.35,17.65,17.70
7,2303,聯電,"57,688,094","25,038",40.85,41.45,40.15,41.05,,0.00,41.05,41.10
8,2609,陽明,"56,757,623","36,260",90.50,93.50,90.00,93.30,+,2.20,93.20,93.30
9,2618,長榮航,"47,789,967","13,281",31.60,32.00,31.45,31.60,-,0.05,31.60,31.65
10,2498,宏達電,"47,344,598","20,820",59.80,60.60,58.90,59.70,-,0.70,59.60,59.70
11,00915,凱基優選高股息30,"41,471,192","2,954",14.95,15.10,14.95,15.10,-,0.04,15.08,15.10
12,00878,國泰永續高股息,"40,894,444","13,451",17.05,17.19,17.01,17.15,+,0.10,17.15,17.16
13,2888,新光金,"40,188,595","7,564",8.65,8.76,8.62,8.73,+,0.12,8.72,8.73
14,5880,合庫金,"38,021,847","9,622",28.00,28.50,28.00,28.50,+,0.50,28.45,28.50
15,3481,群創,"36,676,352","7,254",10.70,10.90,10.60,10.85,+,0.20,10.85,10.90
16,2344,華邦電,"35,717,468","14,852",22.10,22.15,21.05,21.45,-,1.00,21.45,21.50
17,2409,友達,"34,688,601","7,994",14.20,14.45,14.15,14.45,+,0.25,14.40,14.45
18,00637L,元大滬深300正2,"34,594,239","5,025",16.85,17.04,16.75,16.94,+,0.09,16.93,16.94
19,2891,中信金,"34,205,959","13,068",23.20,23.50,23.05,23.30,+,0.20,23.30,23.35
20,1605,華新,"33,378,038","14,264",32.10,32.25,31.50,31.50,-,0.85,31.50,31.55
