排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"256,264,761","96,414",101.50,106.50,100.00,102.50,+,4.70,102.50,103.00
2,00632R,元大台灣50反1,"204,658,498","9,465",5.70,5.71,5.63,5.64,-,0.13,5.64,5.65
3,2303,聯電,"151,564,410","54,990",60.90,62.60,60.80,62.50,+,2.60,62.40,62.50
4,2002,中鋼,"149,455,005","58,144",34.80,34.90,34.10,34.50,-,0.55,34.50,34.55
5,2609,陽明,"142,426,703","72,286",96.10,101.00,95.40,98.50,+,6.00,98.50,98.60
6,1711,永光,"141,243,708","51,261",25.90,26.70,25.20,26.00,,0.00,25.95,26.00
7,2371,大同,"134,222,207","48,153",34.00,35.10,33.70,33.90,-,0.10,33.90,33.95
8,1727,中華化,"93,975,307","39,812",33.10,34.70,31.65,32.80,+,1.25,32.80,32.85
9,2615,萬海,"81,802,710","41,450",165.00,177.50,164.00,171.50,+,10.00,171.50,172.00
10,2409,友達,"71,524,569","15,296",17.70,17.75,17.40,17.40,-,0.10,17.40,17.45
11,3481,群創,"69,532,141","14,452",16.55,16.70,16.40,16.45,+,0.05,16.40,16.45
12,0056,元大高股息,"69,438,110","26,862",32.47,32.69,32.10,32.57,+,0.69,32.57,32.58
13,1308,亞聚,"58,164,750","30,822",47.10,50.00,46.30,50.00,+,3.50,49.95,50.00
14,2606,裕民,"55,531,863","23,529",69.00,72.10,68.60,72.10,+,6.50,72.10,0.00
15,2605,新興,"54,868,215","21,479",35.20,37.40,34.95,36.40,+,2.40,36.40,36.45
16,2891,中信金,"50,267,796","14,542",22.85,23.05,22.75,22.85,+,0.15,22.85,22.90
17,00637L,元大滬深300正2,"41,497,965","7,197",20.58,21.19,20.55,21.14,+,0.95,21.14,21.15
18,5608,四維航,"38,653,405","17,099",47.45,49.50,46.95,48.50,+,3.50,48.50,48.55
19,2317,鴻海,"38,383,881","18,047",104.50,107.00,104.00,107.00,+,4.00,106.50,107.00
20,00715L,期街口布蘭特正2,"37,044,167","4,648",10.91,10.91,10.75,10.82,-,0.56,10.82,10.83
