排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"787,921,656","142,634",19.70,20.95,19.65,20.95,+,1.90,20.95,0.00
2,2409,友達,"724,377,495","151,634",21.75,23.45,21.60,23.40,+,2.05,23.40,23.45
3,2303,聯電,"311,901,869","106,594",60.20,60.80,59.10,60.50,+,1.10,60.40,60.50
4,2603,長榮,"301,280,543","121,158",141.00,145.00,140.50,143.50,+,2.50,143.00,143.50
5,6116,彩晶,"237,425,247","53,480",20.00,21.55,19.95,21.55,+,1.95,21.55,0.00
6,2363,矽統,"142,279,158","61,084",28.40,29.35,27.30,29.00,+,1.25,28.95,29.00
7,2344,華邦電,"121,311,495","39,651",34.25,35.30,34.00,35.30,+,1.35,35.25,35.30
8,00632R,元大台灣50反1,"109,990,859","26,181",5.49,5.51,5.46,5.48,-,0.02,5.47,5.48
9,4919,新唐,"84,436,064","51,524",149.00,155.00,147.00,149.50,+,7.50,149.00,149.50
10,2329,華泰,"82,983,618","34,281",28.85,30.80,28.50,30.70,+,2.50,30.70,30.75
11,2615,萬海,"77,725,621","42,931",231.00,238.00,230.00,233.00,+,4.00,232.50,233.00
12,4960,誠美材,"63,610,294","15,668",13.30,13.85,13.30,13.60,+,0.30,13.55,13.60
13,2614,東森,"46,960,500","22,174",42.00,42.90,40.20,40.80,-,0.65,40.75,40.80
14,2406,國碩,"42,083,074","18,887",27.50,28.30,27.00,27.00,,0.00,27.00,27.05
15,2337,旺宏,"38,620,164","16,631",43.90,44.30,43.65,44.25,+,0.90,44.20,44.25
16,2002,中鋼,"38,113,130","13,231",36.90,37.15,36.60,36.80,-,0.10,36.75,36.80
17,1605,華新,"36,952,333","13,388",29.35,29.50,28.70,29.35,,0.00,29.30,29.35
18,2489,瑞軒,"36,322,231","11,736",17.15,18.35,17.15,18.10,+,1.05,18.05,18.10
19,6164,華興,"35,645,866","13,542",17.20,18.20,16.85,18.20,+,1.65,18.20,0.00
20,2007,燁興,"34,167,583","16,961",33.75,34.65,32.50,32.65,-,1.35,32.65,32.70
