排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1708,東鹼,"148,845,991","63,116",54.90,60.20,54.30,60.20,+,5.40,60.20,0.00
2,00632R,元大台灣50反1,"130,736,256","5,579",5.27,5.31,5.24,5.25,+,0.05,5.25,5.26
3,2610,華航,"120,354,581","35,624",25.75,27.20,25.55,27.15,+,0.80,27.10,27.15
4,00637L,元大滬深300正2,"111,060,712","13,712",15.85,16.02,15.21,15.84,-,0.27,15.83,15.84
5,2834,臺企銀,"106,539,532","24,470",12.55,13.00,12.35,12.95,+,0.35,12.95,13.00
6,2603,長榮,"93,721,893","47,753",128.00,134.50,127.00,133.00,+,0.50,133.00,133.50
7,2409,友達,"68,506,109","21,631",20.50,20.50,20.15,20.45,-,0.20,20.40,20.45
8,2618,長榮航,"65,700,443","25,768",30.05,31.55,30.00,31.25,+,0.25,31.25,31.30
9,2609,陽明,"54,487,113","38,220",117.50,123.00,117.50,122.50,+,0.50,122.00,122.50
10,2883,開發金,"51,570,345","15,144",18.60,18.95,18.45,18.95,+,0.20,18.90,18.95
11,2313,華通,"50,366,660","22,711",53.00,53.50,51.40,52.80,-,0.20,52.70,52.80
12,2888,新光金,"47,973,190","6,474",10.60,10.70,10.45,10.70,+,0.05,10.65,10.70
13,2002,中鋼,"45,820,483","20,864",39.85,40.00,39.15,40.00,,0.00,39.95,40.00
14,1609,大亞,"45,762,764","20,101",27.30,29.25,27.00,28.75,+,0.95,28.70,28.75
15,4919,新唐,"43,302,360","27,970",179.50,192.00,175.00,177.00,-,2.50,176.50,177.00
16,2303,聯電,"40,471,428","16,868",53.20,53.80,52.80,53.60,+,0.30,53.50,53.60
17,1709,和益,"38,740,148","17,050",28.45,29.50,28.20,29.40,+,1.05,29.35,29.40
18,3481,群創,"37,445,594","12,087",17.00,17.10,16.85,17.00,-,0.15,17.00,17.05
19,3035,智原,"36,704,086","30,731",292.50,312.00,288.50,311.00,+,15.00,310.50,311.00
20,2457,飛宏,"35,640,804","21,663",47.85,48.85,47.15,47.60,-,0.05,47.60,47.65
