排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"420,935,507","119,744",34.15,34.50,32.25,32.25,-,0.75,32.25,32.30
2,2610,華航,"313,537,956","81,093",28.90,29.40,27.90,27.90,-,0.05,27.90,27.95
3,3231,緯創,"304,646,375","15,254",29.30,29.75,29.10,29.40,+,0.15,29.35,29.40
4,00632R,元大台灣50反1,"227,301,533","9,217",5.23,5.28,5.22,5.26,,0.00,5.25,5.26
5,2603,長榮,"146,856,916","65,243",146.50,147.00,143.00,143.50,+,2.00,143.50,144.00
6,2303,聯電,"109,311,186","48,740",53.00,53.30,52.00,52.10,+,0.30,52.10,52.20
7,2883,開發金,"107,519,955","261,835",18.95,19.10,18.55,18.95,+,0.10,18.90,18.95
8,2607,榮運,"105,266,351","43,848",39.50,39.80,37.55,37.55,+,0.60,37.55,37.60
9,2888,新光金,"98,182,123","15,893",11.25,11.30,11.05,11.25,+,0.05,11.20,11.25
10,3714,富采,"94,470,482","58,063",86.00,87.50,78.20,79.00,-,6.80,79.00,79.10
11,2330,台積電,"94,155,943","129,776",600.00,609.00,600.00,604.00,,0.00,603.00,604.00
12,2891,中信金,"83,489,399","22,399",26.90,27.15,26.50,27.15,+,0.25,27.10,27.15
13,3481,群創,"83,190,090","19,935",16.80,16.85,16.55,16.75,+,0.10,16.70,16.75
14,00878,國泰永續高股息,"80,813,566","38,854",19.09,19.18,18.94,19.02,+,0.01,19.01,19.02
15,00893,國泰智能電動車,"72,659,743","17,535",13.72,13.78,13.66,13.73,+,0.30,13.72,13.73
16,2609,陽明,"67,284,210","28,499",117.00,117.00,114.00,115.50,+,3.00,115.50,116.00
17,3037,欣興,"66,414,114","55,505",254.00,261.00,252.50,254.00,+,11.00,254.00,254.50
18,2887,台新金,"60,859,938","15,947",19.50,19.60,19.20,19.50,,0.00,19.45,19.50
19,2409,友達,"59,228,885","13,882",20.50,20.65,20.30,20.55,+,0.20,20.50,20.55
20,3035,智原,"57,885,597","32,403",256.00,272.50,255.00,272.50,+,24.50,272.50,0.00
