排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"330,921,152","14,993",5.89,6.01,5.89,6.00,+,0.14,6.00,6.01
2,2603,長榮,"165,915,250","85,589",88.60,88.70,84.50,84.60,-,4.40,84.60,84.70
3,2618,長榮航,"123,873,265","36,721",31.70,32.15,31.20,31.65,+,0.05,31.65,31.70
4,2303,聯電,"120,114,197","51,973",40.60,40.60,39.15,39.15,-,1.75,39.15,39.20
5,00637L,元大滬深300正2,"107,440,572","16,706",19.49,20.42,19.38,20.41,+,0.91,20.40,20.41
6,00878,國泰永續高股息,"103,350,566","61,559",16.99,16.99,16.66,16.66,-,0.36,16.65,16.66
7,2609,陽明,"102,535,805","57,724",84.70,84.80,80.60,82.30,-,3.20,82.30,82.40
8,3481,群創,"78,465,269","15,123",12.75,12.75,12.10,12.10,-,0.60,12.10,12.15
9,2883,開發金,"77,810,788","24,587",15.25,15.25,14.70,14.70,-,0.50,14.70,14.75
10,2498,宏達電,"75,166,985","36,633",50.60,51.40,48.30,48.90,-,3.10,48.90,48.95
11,2610,華航,"71,166,046","21,026",23.65,23.85,23.30,23.50,-,0.10,23.50,23.55
12,058461,臺股指元大1B購10,"71,029,000",625,0.06,0.06,0.03,0.05,-,0.01,0.04,0.05
13,1605,華新,"70,553,224","28,190",37.85,38.00,35.80,36.05,-,1.05,36.05,36.10
14,0056,元大高股息,"62,073,146","40,579",28.00,28.00,27.47,27.56,-,0.58,27.55,27.56
15,2353,宏碁,"55,404,580","14,455",22.55,22.60,21.60,21.70,X,0.00,21.70,21.75
16,2409,友達,"52,265,299","11,242",16.90,16.95,16.30,16.30,-,0.45,16.30,16.35
17,2888,新光金,"52,067,666","10,607",8.88,8.90,8.76,8.76,-,0.14,8.76,8.77
18,2885,元大金,"50,120,297","17,692",20.30,20.30,19.70,19.70,-,0.55,19.70,19.75
19,2330,台積電,"49,820,824","111,117",484.50,486.50,476.00,476.00,-,15.00,476.00,477.00
20,2002,中鋼,"49,674,139","22,751",29.10,29.15,28.45,28.45,-,0.65,28.40,28.45
