排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"312,933,027","91,277",31.80,32.30,30.70,31.40,-,0.70,31.40,31.45
2,2610,華航,"199,395,329","53,585",27.70,28.00,27.10,27.70,-,0.35,27.65,27.70
3,2603,長榮,"190,071,490","82,594",150.00,154.00,149.00,151.50,+,1.00,151.50,152.00
4,2888,新光金,"189,743,366","27,633",10.75,10.80,10.55,10.70,-,0.25,10.65,10.70
5,2002,中鋼,"161,699,341","60,593",38.25,38.80,37.95,38.30,+,0.35,38.30,38.35
6,2883,開發金,"128,973,717","45,104",18.55,18.65,18.20,18.40,-,0.35,18.40,18.45
7,00632R,元大台灣50反1,"98,172,512","3,334",5.19,5.21,5.17,5.19,+,0.03,5.18,5.19
8,2607,榮運,"91,422,334","40,775",36.95,39.90,36.20,38.65,+,1.70,38.60,38.65
9,2609,陽明,"75,698,031","34,831",120.00,122.50,119.00,120.50,,0.00,120.50,121.00
10,00715L,期街口布蘭特正2,"68,904,541","10,441",19.88,21.12,19.75,20.75,+,3.62,20.74,20.75
11,3035,智原,"68,348,216","47,974",297.00,327.50,292.00,307.00,+,7.50,307.00,307.50
12,2027,大成鋼,"63,276,125","27,660",53.50,54.70,53.10,53.30,+,0.20,53.30,53.40
13,2498,宏達電,"63,149,713","30,434",60.60,66.90,60.30,66.90,+,6.00,66.90,0.00
14,3481,群創,"62,745,486","12,731",17.05,17.20,16.95,17.00,-,0.10,17.00,17.05
15,2303,聯電,"58,016,597","30,333",53.20,53.90,53.10,53.60,-,0.50,53.60,53.70
16,00893,國泰智能電動車,"52,215,564","17,100",14.03,14.07,13.93,14.03,-,0.29,14.03,14.04
17,2409,友達,"48,746,602","13,176",20.80,21.10,20.70,21.00,+,0.05,20.95,21.00
18,00673R,期元大S&P原油反1,"46,900,890","6,599",9.18,9.19,9.00,9.07,-,0.96,9.07,9.09
19,1708,東鹼,"45,578,724","25,939",42.95,44.15,40.80,41.35,-,1.10,41.35,41.40
20,2032,新鋼,"43,465,424","18,781",29.55,32.55,28.90,31.55,+,1.95,31.55,31.60
