排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"277,514,635","11,420",5.79,5.79,5.72,5.75,-,0.12,5.75,5.76
2,2603,長榮,"177,736,631","73,072",102.00,108.50,102.00,108.50,+,9.80,108.50,0.00
3,2618,長榮航,"114,474,206","32,182",31.00,31.85,30.90,31.20,+,0.90,31.15,31.20
4,00637L,元大滬深300正2,"110,291,084","14,949",19.32,19.90,19.23,19.44,+,0.51,19.43,19.44
5,2609,陽明,"100,928,731","34,066",85.90,86.10,85.00,86.10,X,0.00,86.10,0.00
6,3481,群創,"95,239,078","13,425",12.50,13.00,12.45,12.80,+,0.50,12.80,12.85
7,2303,聯電,"89,601,381","32,114",42.60,43.30,42.40,42.90,+,1.30,42.90,42.95
8,2888,新光金,"80,569,235","10,545",9.25,9.29,9.21,9.23,+,0.06,9.23,9.24
9,6235,華孚,"68,069,794","31,413",43.80,47.50,43.45,47.50,+,4.30,47.50,0.00
10,1513,中興電,"67,058,797","35,053",54.50,55.80,52.70,54.90,+,1.10,54.90,55.00
11,2610,華航,"59,744,696","19,707",22.90,23.55,22.90,23.30,+,0.95,23.25,23.30
12,00673R,期元大S&P原油反1,"57,150,905","4,992",7.78,7.78,7.57,7.61,-,0.18,7.61,7.62
13,2885,元大金,"54,169,327","13,197",23.55,23.60,23.30,23.30,-,0.15,23.30,23.35
14,1605,華新,"50,136,704","20,010",37.60,38.50,37.20,37.45,+,0.45,37.45,37.50
15,2409,友達,"48,746,693","11,280",16.15,16.90,16.05,16.75,+,0.65,16.70,16.75
16,2615,萬海,"44,546,504","23,210",119.50,128.00,119.50,128.00,+,11.50,128.00,0.00
17,2498,宏達電,"41,976,203","18,466",57.00,57.80,56.10,57.80,+,5.20,57.80,0.00
18,00671R,富邦NASDAQ反1,"40,862,402","1,828",6.27,6.27,6.18,6.22,-,0.18,6.22,6.23
19,2002,中鋼,"39,891,304","14,504",29.25,29.65,29.25,29.45,+,0.45,29.40,29.45
20,2330,台積電,"38,684,368","37,438",496.00,506.00,495.50,498.50,+,12.00,498.50,499.00
