排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"1,142,092,988","253,358",26.40,29.00,26.20,27.10,+,0.70,27.10,27.15
2,2618,長榮航,"691,425,688","144,621",27.50,29.40,26.90,28.00,+,1.25,27.95,28.00
3,2603,長榮,"164,692,522","66,616",112.00,119.50,111.00,119.50,+,7.50,119.00,119.50
4,2498,宏達電,"138,667,853","79,409",90.90,91.90,81.90,82.10,-,8.80,82.10,82.20
5,3062,建漢,"118,938,350","52,169",33.95,35.20,33.50,34.80,+,2.45,34.75,34.80
6,2409,友達,"113,724,933","33,181",20.30,20.30,19.55,19.60,-,0.70,19.60,19.65
7,2609,陽明,"89,125,339","37,629",105.50,110.00,104.50,110.00,+,5.00,109.50,110.00
8,2883,開發金,"86,979,353","20,536",15.55,15.70,15.30,15.65,+,0.05,15.65,15.70
9,2303,聯電,"75,321,000","27,393",63.70,63.70,63.00,63.00,-,0.40,63.00,63.10
10,3481,群創,"72,712,489","17,086",17.20,17.35,16.90,17.05,-,0.15,17.05,17.10
11,2002,中鋼,"71,424,698","29,034",33.50,33.55,33.00,33.15,-,0.50,33.15,33.20
12,2338,光罩,"69,421,314","42,564",104.00,109.50,102.00,105.50,+,1.50,105.00,105.50
13,2371,大同,"64,436,501","19,432",31.95,33.45,31.90,33.05,+,1.40,33.00,33.05
14,2388,威盛,"63,235,062","35,924",94.80,96.50,87.00,90.70,-,3.80,90.60,90.70
15,2888,新光金,"62,225,846","9,091",10.10,10.15,10.00,10.15,+,0.05,10.10,10.15
16,2344,華邦電,"60,523,004","22,655",30.15,30.75,30.05,30.60,+,0.45,30.55,30.60
17,6443,元晶,"55,544,195","25,129",37.05,38.60,37.05,38.00,+,1.25,37.95,38.00
18,00878,國泰永續高股息,"52,284,392","23,458",18.66,18.67,18.56,18.58,X,0.00,18.57,18.58
19,2436,偉詮電,"46,975,931","27,839",107.00,110.50,102.00,110.00,+,2.00,110.00,110.50
20,3041,揚智,"45,649,451","12,357",34.20,34.20,33.10,34.20,+,3.10,34.20,0.00
