排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"557,814,484","196,085",115.50,124.00,114.00,124.00,+,10.50,123.50,124.00
2,2609,陽明,"440,136,189","166,814",112.00,119.00,111.00,116.00,+,5.50,116.00,116.50
3,3481,群創,"330,104,578","70,127",21.15,21.70,20.80,21.35,+,0.20,21.35,21.40
4,2409,友達,"231,093,126","58,657",22.70,23.40,22.45,23.05,+,0.30,23.05,23.10
5,6116,彩晶,"172,873,590","46,187",22.00,22.80,21.75,22.75,+,0.90,22.70,22.75
6,2344,華邦電,"171,971,957","58,805",33.95,35.70,33.85,34.20,+,0.70,34.15,34.20
7,2618,長榮航,"161,775,913","42,000",21.15,21.20,20.10,20.20,-,0.50,20.15,20.20
8,2002,中鋼,"152,766,032","45,089",36.40,37.10,35.80,36.15,,0.00,36.15,36.20
9,5608,四維航,"143,050,560","46,350",36.60,39.75,36.35,39.75,+,3.60,39.75,0.00
10,2614,東森,"127,823,109","41,906",23.35,24.85,22.75,23.60,+,0.25,23.60,23.65
11,2610,華航,"122,220,235","34,093",19.05,19.20,18.55,18.60,-,0.25,18.55,18.60
12,00632R,元大台灣50反1,"120,558,222","5,537",5.69,5.72,5.68,5.70,-,0.02,5.70,5.71
13,1905,華紙,"117,893,354","44,834",27.50,29.70,27.40,27.45,+,0.30,27.45,27.50
14,2303,聯電,"98,451,957","37,725",52.20,52.70,51.60,51.80,+,0.30,51.70,51.80
15,2801,彰銀,"78,945,365","9,973",16.15,16.35,16.00,16.30,-,0.40,16.25,16.30
16,1907,永豐餘,"76,442,510","34,581",46.15,49.30,45.50,45.60,+,0.10,45.55,45.60
17,2337,旺宏,"76,244,301","33,064",44.15,45.30,43.80,44.20,+,0.15,44.15,44.20
18,00637L,元大滬深300正2,"74,664,098","13,831",28.77,28.83,28.02,28.14,-,0.85,28.14,28.15
19,2637,慧洋-KY,"70,045,366","36,809",69.40,73.20,68.70,70.50,+,2.70,70.50,70.60
20,2888,新光金,"61,296,269","9,951",9.60,9.65,9.57,9.59,-,0.14,9.59,9.60
