排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2303,聯電,"179,241,315","57,596",59.80,60.80,59.40,59.80,+,0.40,59.80,59.90
2,2603,長榮,"146,894,709","66,614",96.10,97.20,93.70,95.10,-,0.20,95.10,95.20
3,00632R,元大台灣50反1,"120,445,388","5,231",5.55,5.55,5.51,5.52,-,0.05,5.52,5.53
4,3481,群創,"97,120,078","19,500",15.40,15.45,15.00,15.10,-,0.15,15.10,15.15
5,3062,建漢,"96,290,519","37,099",24.00,24.45,22.30,22.50,-,0.45,22.50,22.55
6,3037,欣興,"83,852,359","42,222",157.00,160.50,152.50,156.00,+,5.50,155.50,156.00
7,2609,陽明,"75,382,034","37,148",90.50,91.60,88.50,90.40,+,0.90,90.30,90.40
8,3035,智原,"73,339,274","44,413",177.00,179.00,161.00,163.00,-,13.00,163.00,163.50
9,2340,光磊,"72,875,317","34,806",37.30,40.90,37.25,39.35,+,2.15,39.35,39.40
10,6282,康舒,"67,290,553","29,808",28.95,31.25,28.60,29.05,+,0.60,29.05,29.10
11,2486,一詮,"61,806,475","30,949",60.40,61.50,58.10,58.10,+,0.70,58.10,58.20
12,4739,康普,"59,461,542","33,099",145.00,154.50,145.00,149.00,+,8.50,148.50,149.00
13,2002,中鋼,"56,601,263","11,140",33.55,33.95,33.45,33.75,+,0.45,33.70,33.75
14,2888,新光金,"52,902,243","6,702",9.90,9.92,9.84,9.92,+,0.04,9.91,9.92
15,2337,旺宏,"51,979,452","20,180",37.70,38.65,37.25,38.45,+,1.15,38.40,38.45
16,2883,開發金,"49,917,021","7,539",14.15,14.35,14.15,14.30,+,0.15,14.25,14.30
17,2498,宏達電,"48,055,964","20,137",52.50,58.30,52.30,58.30,+,5.30,58.30,0.00
18,2371,大同,"43,552,665","15,157",34.20,34.30,33.40,33.40,-,0.60,33.35,33.40
19,4919,新唐,"43,131,593","30,176",135.00,135.00,126.50,127.00,-,12.50,126.50,127.00
20,1711,永光,"41,865,861","16,287",26.60,26.95,25.70,25.70,-,0.85,25.70,25.75
