排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"389,208,843","103,295",29.35,29.85,28.70,28.90,,0.00,28.85,28.90
2,2888,新光金,"359,920,386","41,566",10.00,10.20,9.96,10.15,-,0.20,10.15,10.20
3,1605,華新,"328,649,303","112,238",44.90,45.30,43.00,45.30,+,2.55,45.25,45.30
4,2618,長榮航,"188,329,815","66,911",35.95,36.30,34.80,34.80,-,0.55,34.75,34.80
5,00632R,元大台灣50反1,"122,843,754","4,123",5.36,5.40,5.35,5.36,-,0.02,5.35,5.36
6,5608,四維航,"112,234,604","49,109",49.00,51.90,48.10,48.25,+,1.00,48.25,48.30
7,00637L,元大滬深300正2,"99,568,173","12,282",16.76,16.80,16.20,16.46,-,0.31,16.46,16.47
8,2603,長榮,"97,083,572","38,123",143.00,144.50,142.00,143.50,+,2.00,143.50,144.00
9,1760,寶齡富錦,"95,024,990","59,389",160.00,172.00,155.00,162.00,+,2.00,161.50,162.00
10,2637,慧洋-KY,"88,735,811","45,511",100.00,107.00,98.50,98.60,+,0.10,98.60,98.70
11,2606,裕民,"83,006,935","44,572",66.50,71.20,65.90,65.90,+,1.10,65.90,66.00
12,1708,東鹼,"82,846,265","40,884",69.20,71.40,68.00,69.00,+,0.30,68.90,69.00
13,6443,元晶,"73,122,808","35,167",47.90,48.90,47.55,48.60,+,1.20,48.60,48.65
14,2409,友達,"68,438,363","21,643",18.60,18.90,18.30,18.85,+,0.30,18.80,18.85
15,3481,群創,"65,009,830","18,927",15.55,15.75,15.30,15.55,+,0.15,15.55,15.60
16,2303,聯電,"63,807,807","26,208",47.45,47.65,47.10,47.65,+,1.00,47.60,47.65
17,2605,新興,"63,146,714","21,795",29.05,30.95,29.00,29.20,+,1.05,29.20,29.25
18,2834,臺企銀,"60,863,801","14,164",12.65,12.70,12.35,12.70,+,0.10,12.65,12.70
19,1219,福壽,"59,527,224","19,974",26.70,28.20,26.20,28.20,+,2.55,28.20,0.00
20,2883,開發金,"44,922,219","11,792",18.60,18.75,18.40,18.75,+,0.25,18.70,18.75
