排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"225,233,885","57,396",21.05,22.90,21.00,22.90,+,2.05,22.90,0.00
2,2618,長榮航,"220,105,261","64,985",32.15,34.70,32.05,34.15,+,2.30,34.10,34.15
3,00632R,元大台灣50反1,"112,524,987","4,642",5.63,5.65,5.62,5.65,-,0.03,5.64,5.65
4,2367,燿華,"100,558,461","35,261",21.60,22.90,21.50,22.15,+,0.90,22.15,22.20
5,1605,華新,"80,256,611","34,597",40.00,40.90,38.95,38.95,-,0.30,38.95,39.00
6,2498,宏達電,"76,069,233","34,816",62.10,63.40,61.20,61.60,+,0.60,61.60,61.70
7,5258,虹堡,"75,416,564","46,499",84.30,86.10,76.70,77.50,-,1.70,77.50,77.60
8,6133,金橋,"74,156,338","29,913",32.00,32.35,28.85,28.95,-,0.50,28.95,29.00
9,00637L,元大滬深300正2,"59,198,611","7,609",17.12,17.23,17.01,17.04,+,0.30,17.04,17.05
10,1524,耿鼎,"58,772,396","19,885",27.20,29.25,27.10,29.25,+,2.65,29.25,0.00
11,6443,元晶,"51,809,184","27,790",38.80,38.85,37.50,38.35,-,0.30,38.30,38.35
12,2388,威盛,"47,416,475","22,906",77.00,83.30,76.20,83.30,+,7.50,83.30,0.00
13,3047,訊舟,"43,321,439","13,167",18.95,19.15,18.70,18.75,-,0.25,18.75,18.80
14,2303,聯電,"42,046,948","16,394",42.00,42.15,41.30,41.30,-,0.10,41.25,41.30
15,3035,智原,"41,315,040","28,985",200.00,203.50,191.00,191.00,-,4.00,191.00,191.50
16,2888,新光金,"39,102,845","4,400",8.97,9.05,8.96,9.01,+,0.08,9.00,9.01
17,1522,堤維西,"38,086,822","17,871",31.15,32.70,31.05,31.05,+,0.15,31.05,31.10
18,1795,美時,"38,035,954","25,134",176.50,190.50,175.00,176.00,+,0.50,176.00,176.50
19,2603,長榮,"32,988,686","18,187",94.30,94.70,93.50,93.50,+,0.30,93.50,93.60
20,00878,國泰永續高股息,"32,379,011","13,029",17.17,17.19,17.15,17.15,+,0.08,17.15,17.16
