排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2618,長榮航,"168,364,959","61,725",33.95,34.50,32.60,32.75,-,1.15,32.75,32.80
2,00632R,元大台灣50反1,"164,728,380","6,702",6.03,6.10,6.02,6.07,+,0.05,6.06,6.07
3,2610,華航,"141,557,455","47,517",22.10,22.60,21.35,21.40,-,0.80,21.40,21.45
4,00637L,元大滬深300正2,"75,189,468","6,941",15.68,15.95,15.56,15.86,+,0.23,15.86,15.87
5,1605,華新,"73,891,456","31,808",42.80,42.80,40.30,40.50,-,1.70,40.50,40.55
6,00893,國泰智能電動車,"69,105,877","18,487",12.51,12.52,12.39,12.45,-,0.29,12.44,12.45
7,00878,國泰永續高股息,"68,817,545","40,406",16.63,16.66,16.52,16.56,-,0.06,16.56,16.57
8,2603,長榮,"54,622,405","29,978",155.50,162.00,155.50,158.00,+,2.00,158.00,158.50
9,2409,友達,"54,361,975","14,019",16.20,16.35,15.80,15.80,-,0.45,15.80,15.85
10,2498,宏達電,"49,961,221","24,765",63.20,63.50,59.90,60.80,-,1.90,60.70,60.80
11,3481,群創,"49,412,944","11,211",11.05,11.20,10.85,10.85,-,0.20,10.85,10.90
12,2609,陽明,"48,760,247","26,376",66.30,68.80,66.30,67.40,+,0.90,67.40,67.50
13,6550,北極星藥業-KY,"47,443,852","35,957",231.00,232.00,193.50,193.50,-,21.50,0.00,193.50
14,2303,聯電,"45,973,616","19,304",38.50,38.90,38.15,38.30,-,0.45,38.30,38.35
15,00673R,期元大S&P原油反1,"45,819,810","1,568",8.88,8.97,8.86,8.91,-,0.01,8.91,8.92
16,2834,臺企銀,"42,979,728","9,068",12.75,12.90,12.65,12.80,,0.00,12.75,12.80
17,2367,燿華,"39,316,377","12,978",23.10,23.45,22.10,22.25,-,1.10,22.20,22.25
18,3035,智原,"37,192,874","22,694",154.00,157.00,144.00,145.50,-,10.50,145.50,146.00
19,1101,台泥,"36,464,378","22,451",37.10,37.25,37.00,37.00,-,0.55,37.00,37.05
20,0056,元大高股息,"34,900,666","25,631",27.13,27.28,27.00,27.06,-,0.11,27.05,27.06
