排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,3481,群創,"270,689,625","52,546",21.85,21.95,21.35,21.45,-,0.05,21.40,21.45
2,2637,慧洋-KY,"200,370,572","96,445",89.60,98.40,86.50,98.10,+,8.30,98.00,98.10
3,2409,友達,"194,641,516","48,534",24.30,24.35,23.60,23.65,X,0.00,23.65,23.70
4,2606,裕民,"177,557,394","87,204",73.90,80.80,70.20,77.70,+,3.20,77.70,77.80
5,2601,益航,"163,578,255","33,304",20.10,20.90,18.75,20.90,+,1.90,20.90,0.00
6,2344,華邦電,"162,054,300","49,118",33.70,34.70,33.45,34.45,+,0.95,34.45,34.50
7,2303,聯電,"150,176,504","49,774",52.90,53.60,52.30,53.00,,0.00,53.00,53.10
8,2618,長榮航,"148,340,776","39,916",21.10,21.80,20.60,20.95,,0.00,20.95,21.00
9,2603,長榮,"135,489,137","74,539",136.50,152.00,136.00,152.00,+,13.50,152.00,0.00
10,2615,萬海,"132,739,049","63,946",227.50,248.50,223.00,248.50,+,22.50,248.50,0.00
11,2610,華航,"132,493,222","35,915",19.60,20.25,19.35,19.75,+,0.25,19.70,19.75
12,2014,中鴻,"128,584,042","55,119",49.20,52.20,49.20,50.60,+,2.35,50.50,50.60
13,2208,台船,"128,384,787","52,164",27.00,30.00,26.10,28.45,+,0.30,28.45,28.50
14,2607,榮運,"121,378,897","50,737",30.25,34.50,29.50,34.50,+,3.10,34.50,0.00
15,2337,旺宏,"114,539,601","48,091",44.10,45.65,43.90,45.40,+,2.55,45.40,45.45
16,6116,彩晶,"112,537,288","30,954",22.90,23.20,22.45,22.50,-,0.25,22.50,22.55
17,2605,新興,"103,961,011","33,705",39.00,41.30,37.65,41.30,+,3.75,41.30,0.00
18,2002,中鋼,"102,941,515","29,649",35.80,36.40,35.65,35.80,+,0.40,35.75,35.80
19,2023,燁輝,"100,569,597","31,750",24.25,25.75,24.20,24.70,+,0.95,24.70,24.75
20,00632R,元大台灣50反1,"99,142,767","5,093",5.64,5.66,5.61,5.62,-,0.02,5.62,5.63
