排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"636,385,489","148,850",27.50,29.15,27.10,29.00,+,1.90,29.00,29.05
2,2888,新光金,"411,278,165","54,812",10.20,10.90,10.15,10.85,+,0.70,10.85,10.90
3,2618,長榮航,"392,330,845","101,927",28.20,29.30,27.85,29.25,+,1.25,29.25,29.30
4,2883,開發金,"317,933,760","69,373",15.90,17.15,15.85,16.95,+,1.30,16.95,17.00
5,2603,長榮,"154,076,317","63,106",120.00,120.50,116.00,117.00,-,2.50,116.50,117.00
6,2498,宏達電,"146,400,354","79,703",83.50,89.80,81.50,87.50,+,5.40,87.50,87.60
7,3481,群創,"131,126,725","28,731",17.15,17.70,17.05,17.70,+,0.65,17.65,17.70
8,2303,聯電,"111,672,389","37,926",63.30,64.10,62.70,63.60,+,0.60,63.60,63.70
9,2409,友達,"101,414,735","23,514",19.60,20.20,19.60,20.10,+,0.50,20.05,20.10
10,3062,建漢,"86,151,989","39,735",34.80,36.20,33.00,35.40,+,0.60,35.40,35.45
11,3041,揚智,"85,510,041","35,408",36.00,37.60,34.50,37.60,+,3.40,37.60,0.00
12,2401,凌陽,"81,812,673","40,527",42.80,44.90,42.10,42.35,+,1.10,42.35,42.40
13,2882,國泰金,"76,913,753","30,480",60.30,62.20,60.20,62.20,+,2.20,62.10,62.20
14,2609,陽明,"76,432,870","32,385",110.00,110.50,106.00,107.50,-,2.50,107.50,108.00
15,2371,大同,"75,131,619","21,603",33.45,34.80,33.20,34.80,+,1.75,34.75,34.80
16,2367,燿華,"73,038,402","27,308",22.65,23.10,22.00,22.25,+,0.60,22.25,22.30
17,2344,華邦電,"67,016,125","29,267",31.00,31.45,30.05,30.30,-,0.30,30.25,30.30
18,6443,元晶,"66,324,686","28,130",38.75,39.80,38.10,39.40,+,1.40,39.35,39.40
19,2388,威盛,"60,780,106","35,790",92.20,96.90,88.50,92.80,+,2.10,92.80,92.90
20,2834,臺企銀,"57,714,690","11,012",9.59,9.76,9.56,9.74,+,0.14,9.74,9.75
