排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"111,558,950","64,116",98.20,102.00,97.00,101.00,+,1.80,101.00,101.50
2,00632R,元大台灣50反1,"83,974,839","3,444",5.79,5.81,5.76,5.77,+,0.02,5.77,5.78
3,2303,聯電,"70,525,380","42,475",41.40,41.65,41.00,41.05,-,1.10,41.05,41.10
4,2498,宏達電,"66,667,461","29,237",58.50,60.60,57.90,60.40,-,1.60,60.40,60.50
5,2409,友達,"58,708,721","11,329",14.10,14.50,14.10,14.20,+,0.25,14.15,14.20
6,2609,陽明,"49,731,050","31,660",89.30,91.20,88.00,91.10,+,0.60,91.10,91.20
7,1605,華新,"49,533,901","19,913",33.10,33.60,32.25,32.35,+,0.30,32.35,32.40
8,6443,元晶,"47,596,307","25,375",32.95,35.85,32.45,35.70,+,2.75,35.65,35.70
9,00878,國泰永續高股息,"43,792,703","16,752",16.97,17.07,16.91,17.05,+,0.08,17.04,17.05
10,00637L,元大滬深300正2,"42,330,093","6,395",16.88,17.06,16.84,16.85,+,0.22,16.85,16.86
11,2313,華通,"41,333,414","20,795",49.15,50.80,49.00,50.70,+,1.55,50.70,50.80
12,3481,群創,"40,119,080","6,985",10.70,10.85,10.60,10.65,-,0.05,10.60,10.65
13,2618,長榮航,"38,296,754","12,219",31.30,31.85,31.00,31.65,-,0.05,31.60,31.65
14,1524,耿鼎,"37,069,625","15,450",24.60,25.25,23.70,25.25,+,0.30,25.20,25.25
15,2883,開發金,"36,095,885","9,343",13.25,13.35,13.15,13.35,,0.00,13.30,13.35
16,5388,中磊,"33,457,604","17,210",94.00,101.00,93.00,101.00,+,9.00,101.00,0.00
17,8028,昇陽半導體,"32,789,657","19,537",68.80,70.50,65.60,69.40,+,1.40,69.40,69.50
18,2890,永豐金,"31,692,858","6,037",17.15,17.35,17.05,17.35,+,0.25,17.30,17.35
19,00673R,期元大S&P原油反1,"31,313,469","2,126",8.62,8.68,8.56,8.60,-,0.01,8.59,8.60
20,2534,宏盛,"30,152,641",718,23.60,23.65,23.25,23.30,X,0.00,23.25,23.30
