排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"1,281,795,252","276,719",21.40,22.55,20.50,20.50,,0.00,20.50,20.55
2,2618,長榮航,"684,626,596","149,470",21.85,22.05,21.10,21.50,+,1.45,21.45,21.50
3,2603,長榮,"440,988,606","174,236",119.00,121.50,116.00,116.50,-,2.50,116.50,117.00
4,2609,陽明,"404,392,317","132,400",114.00,119.50,113.00,115.50,+,3.00,115.50,116.00
5,6116,彩晶,"276,869,960","69,817",24.70,25.20,24.30,24.60,+,0.30,24.55,24.60
6,3481,群創,"273,419,614","66,664",23.10,23.70,23.05,23.15,-,0.15,23.15,23.20
7,2303,聯電,"260,150,677","97,458",54.00,54.40,53.00,53.00,-,2.00,53.00,53.10
8,2409,友達,"244,465,324","60,587",24.95,25.20,24.35,24.40,-,0.45,24.40,24.45
9,1905,華紙,"202,335,912","82,594",30.00,30.85,27.05,27.25,-,1.70,27.25,27.30
10,1440,南紡,"196,832,747","68,078",32.10,32.65,29.55,29.60,-,1.60,29.60,29.65
11,2002,中鋼,"172,869,870","60,158",38.50,39.40,38.00,38.05,-,0.75,38.05,38.10
12,00632R,元大台灣50反1,"129,332,612","7,033",5.77,5.78,5.74,5.75,+,0.04,5.75,5.76
13,1802,台玻,"105,537,388","44,722",36.50,37.75,35.60,36.75,+,0.35,36.75,36.80
14,2038,海光,"98,445,991","47,760",46.55,50.90,45.20,46.65,+,0.05,46.65,46.70
15,00637L,元大滬深300正2,"82,313,902","14,899",28.47,29.63,28.25,29.47,+,0.55,29.47,29.48
16,1907,永豐餘,"80,710,958","40,107",49.45,51.00,46.00,46.05,-,1.25,46.05,46.10
17,2027,大成鋼,"78,949,468","32,231",48.75,50.40,48.15,48.60,-,0.20,48.60,48.65
18,2030,彰源,"78,196,829","19,205",22.40,24.85,22.10,24.10,+,1.50,24.05,24.10
19,2344,華邦電,"77,460,374","27,091",34.65,34.70,33.65,33.95,-,0.80,33.90,33.95
20,2637,慧洋-KY,"76,474,458","42,711",75.80,77.00,70.00,70.20,-,6.50,70.20,70.30
