排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1605,華新,"175,511,693","64,566",37.45,40.40,37.40,39.20,+,2.20,39.20,39.25
2,00632R,元大台灣50反1,"173,625,199","8,284",5.67,5.68,5.63,5.64,-,0.06,5.64,5.65
3,1524,耿鼎,"142,339,309","38,828",18.50,19.35,18.00,19.35,+,1.75,19.35,0.00
4,00637L,元大滬深300正2,"121,404,354","14,619",15.59,16.20,15.51,16.19,+,0.86,16.19,16.20
5,2618,長榮航,"104,918,780","33,078",30.95,31.25,30.50,30.70,-,0.05,30.70,30.75
6,3481,群創,"83,349,101","15,553",13.60,13.70,13.40,13.45,-,0.20,13.45,13.50
7,2603,長榮,"71,608,198","33,257",137.00,138.50,134.50,135.00,-,1.00,134.50,135.00
8,2610,華航,"61,241,201","18,406",25.00,25.30,24.80,25.10,+,0.25,25.05,25.10
9,2303,聯電,"55,034,004","20,272",51.10,51.20,50.50,50.70,-,0.10,50.70,50.80
10,2317,鴻海,"46,344,487","22,702",107.50,109.00,107.00,107.00,-,0.50,107.00,107.50
11,2891,中信金,"46,093,149","11,200",25.30,25.55,25.20,25.45,+,0.15,25.45,25.50
12,00673R,期元大S&P原油反1,"43,045,113","2,953",7.66,7.73,7.64,7.67,-,0.08,7.67,7.68
13,1453,大將,"40,761,101","18,285",32.70,33.05,30.15,30.35,+,0.30,30.30,30.35
14,1101,台泥,"40,646,175","8,770",41.45,41.95,41.15,41.15,+,0.05,41.15,41.20
15,2409,友達,"39,192,428","8,670",17.25,17.30,17.05,17.20,-,0.05,17.20,17.25
16,2888,新光金,"38,865,536","7,857",9.05,9.06,8.98,8.98,,0.00,8.98,8.99
17,1522,堤維西,"38,185,455","17,852",24.00,25.95,23.85,24.85,+,0.90,24.85,24.90
18,2609,陽明,"37,392,501","21,490",116.50,119.00,116.00,117.50,+,2.50,117.00,117.50
19,2890,永豐金,"36,631,528","8,344",17.25,17.60,17.05,17.50,+,0.35,17.50,17.55
20,2313,華通,"35,117,682","18,668",49.20,49.85,48.25,48.80,-,0.20,48.75,48.80
