排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2303,聯電,"304,373,205","131,764",56.90,57.00,53.70,54.50,-,2.80,54.40,54.50
2,2610,華航,"220,852,882","52,500",24.50,25.65,24.20,25.60,+,2.20,25.55,25.60
3,00632R,元大台灣50反1,"176,336,357","6,460",5.22,5.25,5.19,5.19,-,0.08,5.19,5.20
4,2883,開發金,"165,975,289","36,636",18.40,19.20,18.35,19.10,+,0.90,19.05,19.10
5,2603,長榮,"142,530,130","63,157",115.50,124.00,115.00,124.00,+,11.00,124.00,0.00
6,2618,長榮航,"122,893,117","32,337",24.90,26.40,24.75,26.40,+,2.40,26.40,0.00
7,2888,新光金,"115,560,327","16,501",11.15,11.45,11.10,11.40,+,0.35,11.40,11.45
8,2891,中信金,"95,047,673","24,346",27.90,28.55,27.80,28.50,+,0.90,28.45,28.50
9,2409,友達,"77,714,202","19,957",20.55,20.90,20.15,20.85,+,0.70,20.80,20.85
10,3481,群創,"76,333,406","15,758",17.20,17.40,17.00,17.35,+,0.40,17.35,17.40
11,4960,誠美材,"66,314,180","6,202",12.10,12.80,12.00,12.40,+,0.45,12.40,12.45
12,2330,台積電,"64,637,049","43,774",644.00,644.00,631.00,635.00,-,1.00,634.00,635.00
13,2609,陽明,"59,599,708","27,856",100.50,108.00,100.00,108.00,+,9.40,108.00,0.00
14,2498,宏達電,"56,477,436","26,120",62.10,67.00,60.50,67.00,+,3.20,66.80,67.00
15,00637L,元大滬深300正2,"56,351,269","10,632",19.82,20.19,19.48,19.95,-,0.10,19.94,19.95
16,00715L,期街口布蘭特正2,"55,593,566","5,605",14.46,14.88,14.46,14.75,+,2.01,14.74,14.75
17,3714,富采,"52,447,916","30,229",94.00,95.30,91.50,93.40,+,3.40,93.40,93.50
18,2882,國泰金,"46,345,940","19,158",63.80,65.80,63.80,65.70,+,2.40,65.70,65.80
19,2002,中鋼,"46,231,805","15,615",33.50,34.25,33.40,34.25,+,0.60,34.25,34.30
20,2834,臺企銀,"43,411,707","7,256",10.40,10.55,10.30,10.50,+,0.20,10.50,10.55
