排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2609,陽明,"650,673,396","326,041",183.00,195.50,182.00,188.00,+,9.00,188.00,188.50
2,2303,聯電,"254,836,284","81,970",53.50,54.20,53.00,53.70,-,1.40,53.60,53.70
3,2615,萬海,"217,936,045","135,998",288.00,304.00,280.00,286.00,+,7.50,285.50,286.00
4,2601,益航,"163,032,113","60,119",22.00,22.20,20.50,20.70,+,0.45,20.65,20.70
5,2883,開發金,"160,052,231","30,735",14.10,14.80,14.10,14.70,+,0.50,14.70,14.75
6,2888,新光金,"158,118,903","20,058",9.75,10.00,9.75,10.00,+,0.23,9.99,10.00
7,3481,群創,"155,576,286","38,270",20.05,20.50,19.70,19.90,-,0.20,19.85,19.90
8,2409,友達,"143,848,912","32,872",21.55,22.15,21.10,21.35,-,0.25,21.30,21.35
9,2607,榮運,"120,051,978","52,803",41.00,43.85,41.00,42.00,+,2.10,41.95,42.00
10,1802,台玻,"118,494,545","50,505",43.00,47.10,42.50,46.00,+,2.80,45.95,46.00
11,2606,裕民,"107,729,154","59,812",72.00,76.00,71.00,71.00,-,2.90,71.00,71.10
12,00632R,元大台灣50反1,"90,643,808","3,892",5.47,5.49,5.44,5.44,+,0.03,5.44,5.45
13,5608,四維航,"90,318,402","51,937",55.10,60.30,54.40,55.00,-,0.90,55.00,55.10
14,2605,新興,"89,964,241","47,440",46.40,49.50,44.80,44.85,-,1.55,44.85,44.90
15,2027,大成鋼,"81,037,230","39,625",58.00,59.50,57.50,58.30,-,0.20,58.30,58.40
16,2603,長榮,"80,682,722","41,760",168.00,179.00,168.00,178.50,+,15.50,178.00,178.50
17,2002,中鋼,"75,612,897","27,709",36.70,36.75,36.20,36.35,-,0.65,36.35,36.40
18,2636,台驊投控,"71,924,670","48,875",251.00,279.00,242.50,244.00,-,13.50,244.00,244.50
19,2882,國泰金,"68,725,330","24,565",58.20,59.90,57.70,59.80,+,1.70,59.70,59.80
20,2637,慧洋-KY,"68,355,093","42,768",90.90,96.00,88.00,88.00,-,3.40,88.00,88.10
