排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1711,永光,"314,351,795","104,724",27.25,28.90,24.90,25.05,-,1.70,25.05,25.10
2,2603,長榮,"243,618,072","114,996",95.10,98.50,91.70,95.30,+,2.40,95.30,95.40
3,2371,大同,"173,078,566","50,633",35.20,35.90,34.20,34.55,-,0.05,34.50,34.55
4,2609,陽明,"153,410,564","79,235",91.20,94.70,87.30,92.40,+,3.90,92.40,92.50
5,2303,聯電,"118,944,029","44,650",57.30,57.60,56.50,56.70,+,0.30,56.70,56.80
6,2615,萬海,"112,929,244","55,206",159.00,170.00,151.50,164.50,+,9.50,164.50,165.00
7,1727,中華化,"102,202,720","42,338",43.00,43.85,36.00,36.00,-,3.90,36.00,36.05
8,00632R,元大台灣50反1,"92,121,386","3,485",5.70,5.77,5.70,5.74,-,0.03,5.74,5.75
9,3481,群創,"79,221,330","17,155",15.70,16.10,15.55,15.95,+,0.45,15.95,16.00
10,1721,三晃,"67,080,885","20,910",15.45,15.45,14.10,15.45,+,1.40,15.45,0.00
11,2606,裕民,"66,995,502","32,361",61.20,62.50,58.30,60.00,-,1.90,60.00,60.10
12,1709,和益,"54,729,605","17,014",21.40,22.95,20.15,20.30,-,0.60,20.25,20.30
13,2888,新光金,"53,605,371","6,456",9.38,9.46,9.33,9.43,+,0.11,9.42,9.43
14,3035,智原,"53,048,145","28,996",135.00,137.00,127.00,130.00,-,1.50,130.00,130.50
15,1308,亞聚,"47,517,578","21,402",45.30,46.15,41.05,41.55,-,3.45,41.55,41.60
16,2409,友達,"43,716,511","9,261",17.00,17.15,16.80,17.05,+,0.25,17.05,17.10
17,2344,華邦電,"43,414,396","14,357",24.45,25.30,24.45,25.20,+,1.20,25.15,25.20
18,2883,開發金,"41,633,880","8,297",14.15,14.15,13.95,14.00,-,0.10,14.00,14.05
19,2002,中鋼,"41,631,096","15,653",32.65,33.10,32.50,32.75,+,0.35,32.75,32.80
20,1305,華夏,"38,346,314","16,182",41.05,41.75,37.80,39.50,-,1.90,39.45,39.50
