排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,6770,力積電,"154,077,253","16,660",32.30,32.40,31.60,32.15,-,0.60,32.15,32.20
2,2890,永豐金,"147,144,956","21,065",18.10,18.75,18.10,18.45,+,0.25,18.45,18.50
3,00632R,元大台灣50反1,"123,217,229","6,129",5.93,5.94,5.91,5.93,+,0.05,5.92,5.93
4,00637L,元大滬深300正2,"101,601,084","11,468",16.64,16.69,16.16,16.26,-,0.49,16.26,16.27
5,2409,友達,"101,168,745","19,367",18.05,18.15,17.80,18.10,+,0.10,18.05,18.10
6,2610,華航,"88,898,797","19,317",22.20,22.70,22.10,22.60,+,0.45,22.60,22.65
7,1301,台塑,"78,642,885","13,254",87.20,88.00,86.50,86.50,-,1.60,86.40,86.50
8,3481,群創,"73,445,027","11,505",12.40,12.40,12.00,12.00,-,0.30,12.00,12.05
9,2891,中信金,"71,792,293","12,214",22.20,22.35,22.10,22.10,-,0.20,22.10,22.15
10,00878,國泰永續高股息,"69,186,687","40,914",16.98,16.99,16.89,16.90,-,0.16,16.90,16.91
11,2618,長榮航,"69,164,489","19,330",33.80,34.30,33.60,33.95,+,0.20,33.95,34.00
12,2838,聯邦銀,"68,745,186","3,346",16.55,16.75,16.00,16.75,+,0.05,16.50,16.75
13,2303,聯電,"58,469,253","19,348",40.30,40.35,39.95,39.95,-,0.45,39.95,40.00
14,1605,華新,"58,204,657","21,204",39.80,40.40,39.35,39.35,-,1.15,39.35,39.40
15,00673R,期元大S&P原油反1,"53,800,895","3,225",8.82,8.84,8.76,8.77,+,0.25,8.77,8.78
16,2609,陽明,"49,766,008","21,331",71.30,73.50,71.00,73.50,+,0.90,73.40,73.50
17,2607,榮運,"49,405,031","22,691",33.25,35.15,32.80,35.15,+,1.95,35.10,35.15
18,1101,台泥,"47,473,365","19,291",39.35,39.40,38.60,38.60,-,0.95,38.60,38.65
19,2888,新光金,"47,436,857","8,284",8.55,8.69,8.55,8.69,+,0.09,8.68,8.69
20,2002,中鋼,"46,247,638","7,461",29.20,29.50,29.15,29.35,-,0.15,29.35,29.40
