排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"150,243,929","6,519",5.90,5.93,5.86,5.86,-,0.04,5.85,5.86
2,2303,聯電,"109,311,679","38,830",38.35,39.50,38.20,39.45,+,0.85,39.45,39.50
3,2409,友達,"94,557,814","23,667",14.25,14.30,13.45,13.70,-,0.60,13.65,13.70
4,2498,宏達電,"80,134,833","40,608",64.00,64.80,62.30,64.70,+,0.50,64.60,64.70
5,3035,智原,"73,941,190","54,890",178.00,178.00,160.50,163.00,-,14.50,163.00,163.50
6,3481,群創,"73,413,803","13,810",10.80,10.85,10.40,10.65,-,0.20,10.65,10.70
7,3037,欣興,"64,743,620","46,057",173.00,180.00,169.50,179.50,+,9.50,179.00,179.50
8,2618,長榮航,"61,770,605","18,246",33.80,34.35,33.75,34.30,+,0.50,34.30,34.35
9,2603,長榮,"61,327,873","32,502",92.20,94.20,92.10,94.00,+,2.30,93.90,94.00
10,00637L,元大滬深300正2,"53,617,523","8,503",18.18,18.18,17.80,17.82,-,0.36,17.82,17.83
11,2881,富邦金,"51,922,671","20,887",55.60,55.60,54.50,55.30,X,0.00,55.30,55.40
12,3062,建漢,"49,968,867","23,510",29.60,31.45,29.50,31.20,+,1.50,31.15,31.20
13,2388,威盛,"49,432,616","24,891",72.30,73.20,69.70,73.00,-,0.30,72.90,73.00
14,2002,中鋼,"48,882,440","22,790",27.90,27.90,27.50,27.60,-,0.25,27.60,27.65
15,2888,新光金,"43,808,312","7,955",8.53,8.55,8.38,8.42,-,0.10,8.41,8.42
16,00673R,期元大S&P原油反1,"43,744,596","2,816",8.21,8.29,8.20,8.25,+,0.16,8.24,8.25
17,2884,玉山金,"38,593,526","10,612",29.10,29.35,29.05,29.35,+,0.15,29.30,29.35
18,2337,旺宏,"35,162,701","18,041",33.25,34.15,32.00,32.85,+,1.30,32.80,32.85
19,1605,華新,"34,629,384","15,207",33.10,33.85,32.35,33.00,-,0.25,32.95,33.00
20,2609,陽明,"32,833,098","17,996",87.00,88.50,87.00,88.20,+,1.50,88.10,88.20
