排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"293,230,100","14,644",6.18,6.34,6.18,6.34,+,0.15,6.33,6.34
2,2618,長榮航,"226,381,247","71,283",29.90,29.90,27.90,27.90,-,3.10,27.90,27.95
3,2610,華航,"159,798,498","45,013",19.80,19.80,18.50,18.60,-,1.45,18.60,18.65
4,00878,國泰永續高股息,"108,007,453","55,912",16.33,16.35,16.01,16.05,-,0.22,16.05,16.06
5,0056,元大高股息,"86,786,671","54,742",26.34,26.37,25.79,25.83,-,0.50,25.82,25.83
6,2891,中信金,"81,166,323","24,900",20.75,20.90,20.10,20.10,-,0.65,20.10,20.15
7,1605,華新,"79,830,245","34,823",40.55,41.15,38.05,38.15,-,2.80,38.15,38.20
8,2303,聯電,"73,329,162","27,851",37.50,37.95,36.15,36.20,-,1.10,36.20,36.25
9,2609,陽明,"65,279,134","39,249",63.20,63.30,60.20,60.30,-,3.50,60.30,60.40
10,00637L,元大滬深300正2,"62,162,537","6,455",16.08,16.18,15.90,15.98,-,0.06,15.98,15.99
11,2603,長榮,"62,152,796","33,302",152.00,152.50,143.50,144.00,-,9.50,144.00,144.50
12,3481,群創,"62,051,789","13,081",10.80,10.80,10.40,10.45,-,0.25,10.45,10.50
13,2409,友達,"56,937,807","12,839",14.95,15.00,14.60,14.70,-,0.35,14.65,14.70
14,2888,新光金,"53,376,923","12,206",8.30,8.34,8.12,8.12,-,0.17,8.12,8.13
15,2883,開發金,"52,778,339","17,540",12.55,12.60,12.10,12.15,-,0.40,12.10,12.15
16,2498,宏達電,"50,545,214","23,131",56.00,56.30,51.60,52.00,-,4.60,52.00,52.10
17,2317,鴻海,"49,671,045","30,069",103.50,104.00,100.50,100.50,-,3.00,100.50,101.00
18,074025,臺股指元大24購11,"46,916,000",455,0.29,0.30,0.20,0.21,-,0.09,0.20,0.21
19,3046,建碁,"46,392,956","27,349",45.25,49.00,45.10,46.05,+,1.50,46.05,46.10
20,2834,臺企銀,"44,582,936","8,850",12.70,12.75,12.40,12.45,-,0.25,12.40,12.45
