排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2610,華航,"574,169,179","139,047",22.20,23.50,21.85,23.20,+,1.15,23.20,23.25
2,2618,長榮航,"408,391,665","107,172",24.90,26.05,24.35,25.75,+,0.80,25.70,25.75
3,1711,永光,"314,469,705","115,995",30.15,32.45,29.00,29.40,-,0.85,29.40,29.45
4,3481,群創,"219,436,472","53,012",17.80,18.10,17.10,17.10,-,0.90,17.05,17.10
5,2603,長榮,"181,655,102","73,111",121.00,124.50,119.50,120.00,-,2.00,119.50,120.00
6,1314,中石化,"156,915,778","31,739",12.95,13.70,12.90,13.10,+,0.45,13.10,13.15
7,2609,陽明,"144,624,187","58,851",115.50,120.50,115.00,115.00,-,1.00,115.00,115.50
8,2303,聯電,"128,033,517","51,497",63.40,64.00,62.40,63.10,,0.00,63.10,63.20
9,2409,友達,"123,654,273","31,077",20.50,20.85,20.00,20.00,-,0.55,20.00,20.05
10,1727,中華化,"110,373,217","50,324",54.90,59.00,54.20,57.30,+,3.60,57.20,57.30
11,1721,三晃,"97,898,222","35,828",23.25,25.55,23.25,25.55,+,2.30,25.55,0.00
12,1440,南紡,"96,852,392","27,075",24.00,26.55,24.00,24.90,+,0.75,24.90,24.95
13,2371,大同,"94,082,658","30,344",33.80,34.00,32.20,32.75,-,1.75,32.75,32.80
14,2388,威盛,"93,120,475","40,718",90.00,92.50,87.00,92.50,+,8.40,92.50,0.00
15,6282,康舒,"79,958,901","38,271",35.10,38.35,34.80,37.10,+,2.20,37.10,37.15
16,00637L,元大滬深300正2,"67,947,497","12,069",21.40,21.45,20.43,20.70,-,0.71,20.69,20.70
17,3033,威健,"59,319,985","20,329",29.30,31.40,29.00,31.40,+,2.85,31.40,0.00
18,2615,萬海,"51,928,901","29,886",183.50,187.50,176.00,177.00,-,6.50,176.50,177.00
19,00632R,元大台灣50反1,"50,416,624","4,796",5.37,5.38,5.35,5.36,,0.00,5.36,5.37
20,00893,國泰智能電動車,"46,626,286","19,203",17.61,17.61,17.39,17.42,-,0.67,17.42,17.43
