排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"257,794,048","9,775",5.82,5.86,5.81,5.84,+,0.12,5.83,5.84
2,00878,國泰永續高股息,"137,604,934","67,702",16.92,16.93,16.81,16.85,-,0.18,16.85,16.86
3,2388,威盛,"119,238,131","59,561",91.20,93.70,85.70,88.60,-,1.90,88.60,88.70
4,2409,友達,"98,424,979","23,008",16.65,17.25,16.45,17.10,+,0.35,17.05,17.10
5,00673R,期元大S&P原油反1,"77,928,419","4,650",8.45,8.47,8.41,8.45,+,0.26,8.45,8.46
6,6443,元晶,"73,305,147","36,895",39.00,41.00,38.70,40.35,+,1.35,40.35,40.40
7,2610,華航,"69,752,071","19,600",22.70,22.95,22.50,22.70,-,0.10,22.70,22.75
8,3481,群創,"68,110,634","12,088",11.95,12.30,11.85,12.10,,0.00,12.10,12.15
9,3037,欣興,"63,058,363","43,646",147.00,147.50,137.00,138.00,-,13.50,138.00,138.50
10,2618,長榮航,"61,338,340","18,516",33.60,34.20,33.30,33.65,-,0.10,33.65,33.70
11,2888,新光金,"59,569,671","14,223",8.70,8.75,8.58,8.61,-,0.18,8.61,8.62
12,2367,燿華,"58,249,894","20,077",22.75,23.80,22.60,23.15,-,0.05,23.15,23.20
13,2498,宏達電,"53,912,819","26,390",61.80,62.50,59.60,60.20,-,2.10,60.20,60.30
14,2603,長榮,"52,224,875","29,397",87.20,87.80,86.20,86.20,-,2.10,86.20,86.30
15,00893,國泰智能電動車,"49,652,260","15,070",12.95,12.95,12.83,12.87,-,0.45,12.87,12.88
16,00637L,元大滬深300正2,"48,240,975","5,990",16.86,16.92,16.71,16.79,-,0.34,16.79,16.80
17,2891,中信金,"47,669,887","14,280",23.10,23.25,22.85,23.05,-,0.45,23.05,23.10
18,1605,華新,"44,896,245","19,079",39.20,40.00,38.90,39.90,+,0.20,39.85,39.90
19,2330,台積電,"42,008,490","93,631",495.00,495.50,490.00,490.50,-,14.50,490.50,491.00
20,2303,聯電,"40,392,085","15,949",40.20,40.70,40.00,40.45,-,0.65,40.40,40.45
