排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"275,371,578","124,744",91.60,92.40,85.50,92.40,-,1.50,92.40,92.50
2,2888,新光金,"195,169,596","24,818",9.62,9.93,9.62,9.81,+,0.24,9.81,9.82
3,2609,陽明,"175,099,924","83,707",90.40,90.40,83.60,89.00,-,3.30,88.90,89.00
4,1718,中纖,"132,103,232","25,158",10.50,11.40,10.50,11.40,+,1.00,11.40,0.00
5,2303,聯電,"119,994,514","38,856",59.70,59.70,58.40,58.40,-,0.70,58.40,58.50
6,1711,永光,"119,535,408","40,097",26.50,27.45,26.15,27.05,+,0.55,27.00,27.05
7,2615,萬海,"90,903,772","44,825",157.50,161.00,146.50,160.00,-,1.00,159.50,160.00
8,2371,大同,"84,599,534","29,025",35.55,36.20,35.05,35.25,-,0.55,35.25,35.30
9,00632R,元大台灣50反1,"81,188,860","3,084",5.59,5.64,5.58,5.62,+,0.01,5.62,5.63
10,3481,群創,"79,860,262","17,511",16.15,16.25,15.70,15.80,-,0.35,15.80,15.85
11,2883,開發金,"77,160,090","11,246",14.10,14.35,14.10,14.20,+,0.10,14.20,14.25
12,3035,智原,"70,940,745","38,941",142.50,145.50,137.50,141.00,-,2.00,141.00,141.50
13,00637L,元大滬深300正2,"61,467,555","9,346",23.00,23.04,21.85,21.88,-,1.14,21.88,21.89
14,1314,中石化,"53,849,890","10,186",12.20,12.70,12.20,12.60,+,0.55,12.55,12.60
15,1710,東聯,"52,894,039","17,118",22.85,24.50,22.70,24.50,+,2.20,24.50,0.00
16,0056,元大高股息,"51,205,215","21,714",32.45,32.46,32.25,32.36,+,0.05,32.35,32.36
17,2887,台新金,"50,985,433","12,134",18.30,18.75,18.25,18.65,+,0.45,18.65,18.70
18,2409,友達,"48,050,813","10,862",17.40,17.50,17.15,17.25,-,0.10,17.20,17.25
19,1727,中華化,"42,905,385","15,786",42.80,43.55,41.10,43.55,+,3.95,43.55,0.00
20,2376,技嘉,"42,419,018","24,428",110.00,112.50,106.00,107.00,,0.00,106.50,107.00
