排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"267,352,855","8,979",5.83,5.89,5.81,5.87,-,0.04,5.86,5.87
2,2609,陽明,"149,441,814","71,431",98.80,102.00,97.30,98.30,+,2.10,98.30,98.40
3,2603,長榮,"140,963,741","66,891",98.90,102.50,97.60,98.70,+,2.60,98.60,98.70
4,2618,長榮航,"118,373,355","34,070",30.75,31.15,30.15,30.30,-,0.05,30.30,30.35
5,00637L,元大滬深300正2,"103,034,613","12,226",18.70,19.05,18.70,18.93,+,0.54,18.93,18.94
6,2303,聯電,"98,449,440","46,466",42.50,42.95,41.60,41.60,-,0.40,41.60,41.65
7,3481,群創,"85,354,010","14,122",12.10,12.50,12.10,12.30,+,0.40,12.25,12.30
8,2002,中鋼,"79,123,709","36,826",29.00,29.40,28.70,29.00,,0.00,28.95,29.00
9,2409,友達,"75,348,834","16,589",15.30,16.25,15.30,16.10,+,0.95,16.05,16.10
10,2610,華航,"58,121,955","19,048",22.55,22.95,22.30,22.35,+,0.20,22.35,22.40
11,1605,華新,"48,734,468","20,751",38.10,38.30,36.50,37.00,-,0.45,36.95,37.00
12,2498,宏達電,"48,481,390","21,117",49.35,52.60,49.20,52.60,+,4.70,52.60,0.00
13,2615,萬海,"43,016,122","20,701",112.50,121.00,112.50,116.50,+,6.00,116.00,116.50
14,2888,新光金,"42,648,361","7,568",9.14,9.21,9.13,9.17,+,0.10,9.16,9.17
15,00671R,富邦NASDAQ反1,"41,749,050","1,795",6.46,6.46,6.38,6.40,-,0.16,6.39,6.40
16,1513,中興電,"41,633,205","22,353",49.90,53.80,49.75,53.80,+,4.85,53.70,53.80
17,3711,日月光投控,"39,116,372","22,269",94.10,95.00,90.70,92.00,-,3.40,91.90,92.00
18,1524,耿鼎,"38,562,017","13,873",19.55,20.40,19.25,20.10,+,0.45,20.10,20.15
19,1560,中砂,"34,042,849","22,486",160.00,161.50,146.00,152.00,-,6.50,151.50,152.00
20,2340,台亞,"31,304,566","20,034",49.30,50.40,47.65,48.80,+,0.30,48.75,48.80
