排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2340,台亞,"176,026,037","81,935",77.00,79.40,75.30,79.40,+,6.20,79.30,79.40
2,2610,華航,"114,941,219","28,979",26.20,27.00,26.05,27.00,+,0.80,26.95,27.00
3,2374,佳能,"104,423,525","39,030",31.75,31.90,29.60,30.05,-,0.40,30.05,30.10
4,6116,彩晶,"97,013,217","27,692",17.30,18.35,17.25,17.90,+,0.75,17.90,17.95
5,3049,和鑫,"94,185,930","20,480",16.55,17.85,16.55,17.85,+,1.60,17.85,0.00
6,6282,康舒,"84,881,969","38,441",39.95,39.95,37.50,37.60,-,2.35,37.60,37.65
7,00632R,元大台灣50反1,"83,840,581","6,199",5.21,5.21,5.17,5.17,-,0.04,5.17,5.18
8,2618,長榮航,"79,965,243","22,599",26.80,27.40,26.40,27.40,+,0.60,27.40,27.45
9,3481,群創,"79,642,968","17,257",19.15,19.45,19.10,19.30,+,0.25,19.25,19.30
10,2409,友達,"72,941,932","18,876",22.50,23.00,22.50,22.70,+,0.25,22.70,22.75
11,2457,飛宏,"69,845,517","35,419",50.40,52.00,49.80,51.70,+,2.30,51.60,51.70
12,2442,新美齊,"67,803,294","8,476",13.30,14.50,13.10,14.50,+,1.30,14.50,0.00
13,2368,金像電,"66,975,864","43,656",81.60,84.20,76.70,76.80,-,2.70,76.80,76.90
14,1905,華紙,"56,714,493","25,750",26.00,27.00,26.00,26.20,+,0.65,26.20,26.25
15,3062,建漢,"48,781,390","24,074",31.00,33.40,30.50,32.95,+,2.25,32.95,33.00
16,2303,聯電,"45,906,409","18,222",64.60,64.70,64.20,64.30,,0.00,64.30,64.40
17,3041,揚智,"45,674,964","20,712",39.45,42.70,38.95,42.70,+,3.85,42.70,0.00
18,2888,新光金,"44,810,119","5,664",10.70,10.75,10.60,10.65,-,0.05,10.65,10.70
19,3059,華晶科,"44,395,650","24,496",51.60,52.40,49.00,49.00,-,1.80,49.00,49.05
20,3035,智原,"41,073,243","26,495",253.00,255.50,238.00,238.50,-,10.50,238.50,239.00
