排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2303,聯電,"205,673,445","67,910",60.00,61.90,59.60,61.90,+,2.10,61.80,61.90
2,2603,長榮,"107,491,348","49,133",94.00,94.90,92.70,92.80,-,2.30,92.80,92.90
3,2388,威盛,"89,109,919","46,229",59.40,61.20,56.80,58.80,+,0.20,58.70,58.80
4,00632R,元大台灣50反1,"85,736,257","2,703",5.54,5.56,5.51,5.51,-,0.01,5.51,5.52
5,3481,群創,"80,569,810","17,575",15.10,15.40,15.05,15.35,+,0.25,15.35,15.40
6,2409,友達,"72,752,146","13,744",17.25,17.70,17.20,17.60,+,0.35,17.55,17.60
7,6282,康舒,"68,631,378","30,117",29.60,31.95,29.30,31.95,+,2.90,31.95,0.00
8,3035,智原,"68,564,561","39,176",164.50,179.00,164.00,179.00,+,16.00,179.00,0.00
9,2312,金寶,"66,510,098","14,593",12.55,13.75,12.55,13.75,+,1.25,13.75,0.00
10,2337,旺宏,"61,398,566","22,489",38.00,38.75,37.65,38.10,-,0.35,38.05,38.10
11,00637L,元大滬深300正2,"57,928,321","9,953",23.07,23.07,22.41,22.46,-,0.85,22.46,22.47
12,2498,宏達電,"57,494,492","29,431",59.50,62.50,58.30,60.00,+,1.70,59.90,60.00
13,3062,建漢,"57,148,497","17,579",22.60,24.75,22.35,24.75,+,2.25,24.75,0.00
14,2340,光磊,"56,794,607","28,899",39.35,41.50,39.00,41.50,+,2.15,41.45,41.50
15,3189,景碩,"55,292,827","33,992",242.50,256.50,241.00,249.50,+,13.50,249.50,250.00
16,4739,康普,"54,992,171","32,419",152.50,159.00,150.50,153.50,+,4.50,153.00,153.50
17,3037,欣興,"52,290,164","21,858",171.00,171.50,167.00,171.50,+,15.50,171.50,0.00
18,2371,大同,"48,007,572","16,863",33.50,34.75,33.40,34.70,+,1.30,34.65,34.70
19,2609,陽明,"46,820,787","24,422",89.30,90.30,88.60,89.30,-,1.10,89.30,89.40
20,2457,飛宏,"44,828,570","20,987",37.30,37.95,35.60,36.30,-,0.95,36.25,36.30
