排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"561,492,548","185,050",114.00,121.00,112.50,119.00,+,8.50,119.00,119.50
2,2609,陽明,"471,284,102","171,940",113.50,117.50,111.00,112.50,+,1.50,112.50,113.00
3,3481,群創,"443,029,094","104,533",23.40,23.75,22.65,23.30,+,0.15,23.30,23.35
4,2409,友達,"399,709,193","94,263",25.30,25.45,24.30,24.85,-,0.10,24.85,24.90
5,2303,聯電,"380,138,640","124,928",52.80,55.30,52.30,55.00,+,3.00,54.90,55.00
6,6116,彩晶,"336,565,319","81,176",24.25,25.00,23.50,24.30,+,0.40,24.30,24.35
7,2002,中鋼,"322,183,566","95,755",39.75,39.85,38.60,38.80,-,0.70,38.80,38.85
8,1718,中纖,"192,102,033","39,848",11.80,12.40,11.55,11.85,+,0.50,11.85,11.90
9,2610,華航,"172,162,649","30,614",20.00,20.50,20.00,20.50,+,1.85,20.50,0.00
10,00632R,元大台灣50反1,"167,319,622","8,882",5.73,5.74,5.69,5.71,-,0.04,5.71,5.72
11,1314,中石化,"160,401,143","32,127",14.65,14.75,14.25,14.35,+,0.10,14.35,14.40
12,1905,華紙,"157,196,983","59,728",26.80,28.95,26.75,28.95,+,2.60,28.95,0.00
13,2637,慧洋-KY,"155,121,613","73,467",78.50,80.80,76.50,76.70,-,0.30,76.70,76.80
14,1455,集盛,"124,219,702","28,259",26.20,28.30,25.95,28.30,+,2.55,28.30,0.00
15,1802,台玻,"110,489,029","48,022",36.40,37.95,36.00,36.40,+,1.10,36.35,36.40
16,2618,長榮航,"103,293,472","24,543",20.00,20.05,19.90,20.05,+,1.80,20.05,0.00
17,1909,榮成,"94,778,122","36,758",25.25,27.15,25.25,26.30,+,1.30,26.30,26.35
18,2038,海光,"92,059,469","42,769",47.80,49.20,45.35,46.60,+,0.90,46.55,46.60
19,1440,南紡,"88,724,737","28,377",29.00,31.20,28.95,31.20,+,2.80,31.20,0.00
20,2344,華邦電,"85,289,510","29,732",34.40,34.95,34.00,34.75,+,0.85,34.70,34.75
