排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2603,長榮,"532,740,856","246,139",147.50,157.00,140.00,154.00,+,10.50,153.50,154.00
2,2609,陽明,"437,511,960","222,545",142.00,149.50,134.50,145.50,+,5.00,145.50,146.00
3,3481,群創,"217,473,124","47,709",19.50,19.55,18.95,19.45,+,0.40,19.45,19.50
4,2303,聯電,"208,158,788","68,362",53.00,54.10,52.70,52.70,+,0.70,52.70,52.80
5,2409,友達,"174,639,688","39,054",20.10,20.75,19.65,20.70,+,1.00,20.65,20.70
6,2615,萬海,"149,676,040","90,540",248.00,255.00,234.50,240.00,,0.00,239.50,240.00
7,3006,晶豪科,"102,736,007","64,864",200.00,212.00,190.00,197.00,+,0.50,196.50,197.00
8,2401,凌陽,"99,739,875","53,760",44.70,47.40,43.50,44.90,+,0.20,44.90,44.95
9,3545,敦泰,"96,932,347","55,659",256.00,270.50,252.00,270.50,+,24.50,270.50,0.00
10,00632R,元大台灣50反1,"87,213,204","3,471",5.50,5.55,5.49,5.54,,0.00,5.53,5.54
11,2002,中鋼,"77,640,339","26,550",35.60,36.30,35.35,36.30,+,1.10,36.25,36.30
12,2340,光磊,"73,388,704","28,024",32.50,35.10,32.40,33.50,+,1.25,33.50,33.55
13,2344,華邦電,"72,933,219","24,883",33.30,33.75,33.00,33.55,+,0.35,33.50,33.55
14,2481,強茂,"68,575,316","42,007",114.00,119.00,107.00,110.00,-,3.50,109.50,110.00
15,2882,國泰金,"68,367,196","18,120",60.50,60.60,59.50,60.30,+,0.20,60.20,60.30
16,8215,明基材,"65,970,028","32,317",35.30,38.00,33.00,33.40,-,1.30,33.40,33.45
17,2030,彰源,"65,757,996","29,767",43.50,45.95,42.05,44.50,+,2.70,44.50,44.55
18,2618,長榮航,"65,355,862","19,790",18.10,19.30,18.10,19.10,+,1.10,19.05,19.10
19,6116,彩晶,"63,496,520","17,382",19.60,20.05,19.15,19.90,+,0.65,19.90,19.95
20,2610,華航,"62,904,044","17,014",17.30,18.10,17.25,17.95,+,0.75,17.95,18.00
