排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1711,永光,"299,322,241","95,894",25.65,27.30,25.40,27.30,+,2.45,27.30,0.00
2,2603,長榮,"190,503,029","79,232",124.50,126.00,119.50,124.50,+,1.00,124.00,124.50
3,2002,中鋼,"111,554,006","37,276",39.65,39.65,38.80,39.25,-,0.60,39.25,39.30
4,2609,陽明,"105,199,430","44,930",118.50,123.00,114.50,121.50,+,4.00,121.00,121.50
5,2303,聯電,"105,174,181","44,576",66.20,66.50,65.50,65.60,-,0.40,65.60,65.70
6,3481,群創,"94,216,295","20,237",16.60,16.95,16.50,16.55,-,0.05,16.55,16.60
7,2358,廷鑫,"89,742,766","37,465",29.50,29.85,26.80,27.00,-,1.50,27.00,27.05
8,2409,友達,"89,113,894","22,727",17.60,18.10,17.50,17.80,+,0.15,17.80,17.85
9,1727,中華化,"82,652,259","32,311",34.90,34.90,32.60,34.90,+,3.15,34.90,0.00
10,2615,萬海,"76,965,324","41,727",203.00,207.00,196.00,205.00,+,3.50,205.00,205.50
11,00632R,元大台灣50反1,"76,320,151","3,068",5.46,5.50,5.45,5.46,+,0.02,5.46,5.47
12,3033,威健,"70,938,241","27,978",28.60,29.70,26.85,26.95,-,1.70,26.95,27.00
13,1308,亞聚,"64,521,899","25,738",38.95,42.00,37.50,38.80,+,0.10,38.80,38.85
14,2888,新光金,"64,447,385","9,830",9.47,9.54,9.43,9.53,+,0.03,9.52,9.53
15,2317,鴻海,"64,013,002","27,970",108.00,110.50,107.50,108.50,+,1.00,108.50,109.00
16,2883,開發金,"49,670,407","10,510",14.35,14.35,14.20,14.35,+,0.05,14.30,14.35
17,00637L,元大滬深300正2,"45,371,645","8,564",20.95,20.96,20.34,20.34,-,1.02,20.33,20.34
18,4919,新唐,"41,705,583","24,354",122.00,125.50,119.00,120.00,-,1.50,120.00,120.50
19,3035,智原,"38,768,506","22,399",112.50,114.00,109.50,111.50,-,3.50,111.50,112.00
20,1304,台聚,"35,131,496","14,803",34.00,36.05,33.70,34.00,,0.00,34.00,34.05
