排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"164,793,446","9,173",6.00,6.04,5.95,5.98,-,0.05,5.98,5.99
2,00637L,元大滬深300正2,"112,995,974","16,614",18.28,18.62,17.85,18.50,-,0.10,18.50,18.51
3,3481,群創,"95,110,838","17,033",10.45,10.95,10.40,10.90,+,0.50,10.85,10.90
4,2303,聯電,"94,815,586","36,428",39.60,40.20,39.50,40.00,+,1.05,40.00,40.05
5,2618,長榮航,"88,563,196","26,866",32.65,33.50,32.60,33.15,+,0.80,33.10,33.15
6,2498,宏達電,"79,624,735","37,131",59.50,61.50,59.10,59.10,+,0.20,59.10,59.20
7,2002,中鋼,"66,893,199","18,947",29.00,30.65,28.75,30.65,+,1.70,30.60,30.65
8,2409,友達,"63,129,583","12,681",14.30,14.95,14.30,14.65,+,0.35,14.65,14.70
9,2610,華航,"62,895,506","16,847",22.80,23.40,22.80,23.20,+,0.55,23.15,23.20
10,2891,中信金,"58,773,460","11,692",22.10,22.45,21.90,22.30,+,0.50,22.25,22.30
11,2603,長榮,"50,045,302","25,550",89.90,91.20,89.10,89.30,,0.00,89.30,89.40
12,1524,耿鼎,"49,280,880","20,397",22.00,22.35,21.30,21.80,+,0.30,21.80,21.85
13,1605,華新,"48,180,069","17,347",33.15,34.70,33.00,34.10,+,1.00,34.10,34.15
14,2883,開發金,"42,874,606","7,264",12.60,12.80,12.55,12.70,+,0.20,12.70,12.75
15,00673R,期元大S&P原油反1,"42,740,582","4,137",8.48,8.49,8.29,8.31,-,0.12,8.31,8.32
16,2330,台積電,"40,797,601","42,574",495.50,498.50,488.50,495.50,+,3.00,495.00,495.50
17,3037,欣興,"38,850,375","31,530",158.00,167.00,155.00,163.50,+,7.00,163.00,163.50
18,6770,力積電,"38,499,705","17,962",38.55,39.60,38.05,39.25,-,0.80,39.20,39.25
19,1101,台泥,"37,901,546","9,197",40.50,40.70,40.05,40.70,+,0.20,40.65,40.70
20,3035,智原,"37,356,632","24,941",154.50,164.00,154.00,158.00,+,5.50,158.00,158.50
