排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2609,陽明,"488,666,127","223,033",185.00,185.50,170.00,170.50,-,17.50,170.50,171.00
2,3481,群創,"261,046,528","67,836",19.20,19.35,18.70,18.80,-,0.65,18.80,18.85
3,00632R,元大台灣50反1,"174,923,458","9,383",5.53,5.58,5.51,5.56,+,0.08,5.56,5.57
4,2030,彰源,"170,952,788","72,621",46.00,49.05,44.20,49.00,+,4.40,48.95,49.00
5,2409,友達,"152,829,089","46,240",20.65,20.75,20.05,20.10,-,0.80,20.10,20.15
6,2023,燁輝,"144,871,517","66,799",39.85,41.20,37.10,38.55,-,2.15,38.50,38.55
7,00715L,期街口布蘭特正2,"136,079,637","14,678",7.74,7.78,7.64,7.70,-,0.93,7.70,7.71
8,2615,萬海,"135,313,236","87,645",286.50,286.50,258.00,260.50,-,25.50,260.50,261.00
9,2002,中鋼,"130,658,011","43,922",36.75,37.10,35.80,36.05,-,0.55,36.00,36.05
10,2034,允強,"126,297,429","56,107",45.00,47.30,41.85,44.35,-,0.60,44.35,44.40
11,2883,開發金,"112,189,569","23,810",14.15,14.25,14.00,14.15,-,0.30,14.10,14.15
12,2303,聯電,"111,149,026","41,707",52.30,53.10,52.10,52.40,-,0.20,52.40,52.50
13,2027,大成鋼,"108,436,638","53,353",59.50,60.80,57.00,58.40,-,1.60,58.40,58.50
14,2888,新光金,"101,593,995","12,121",9.86,9.93,9.80,9.80,-,0.20,9.80,9.81
15,2007,燁興,"97,820,897","33,746",26.95,29.15,26.30,29.15,+,2.65,29.15,0.00
16,2882,國泰金,"77,564,654","24,233",58.50,59.10,57.60,57.90,-,1.80,57.90,58.00
17,2344,華邦電,"77,171,515","32,583",33.50,33.80,33.00,33.05,-,0.95,33.05,33.10
18,2022,聚亨,"73,155,027","29,731",25.05,26.00,23.60,24.55,-,0.85,24.55,24.60
19,3006,晶豪科,"72,738,213","44,990",170.50,181.00,169.00,173.00,+,0.50,173.00,173.50
20,2406,國碩,"68,901,147","27,531",26.10,27.90,25.25,27.65,+,1.40,27.65,27.70
