排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,2303,聯電,"213,190,852","84,322",58.20,60.20,58.00,59.10,+,2.40,59.10,59.20
2,00632R,元大台灣50反1,"172,111,959","9,050",5.65,5.69,5.61,5.61,-,0.13,5.61,5.62
3,2603,長榮,"140,865,674","67,910",95.80,96.40,93.50,93.90,-,1.40,93.90,94.00
4,1711,永光,"118,876,642","41,759",25.40,26.55,25.05,26.50,+,1.45,26.45,26.50
5,2888,新光金,"114,347,243","14,897",9.48,9.62,9.47,9.57,+,0.14,9.57,9.58
6,2371,大同,"95,601,436","31,501",35.00,35.80,34.50,35.80,+,1.25,35.75,35.80
7,3035,智原,"93,188,148","49,438",135.00,143.00,129.50,143.00,+,13.00,143.00,0.00
8,2609,陽明,"86,190,788","40,881",93.10,94.00,91.50,92.30,-,0.10,92.30,92.40
9,1721,三晃,"76,684,273","26,849",14.85,16.90,14.60,16.55,+,1.10,16.50,16.55
10,00893,國泰智能電動車,"75,550,163","14,295",15.15,15.28,15.14,15.28,+,0.30,15.27,15.28
11,2615,萬海,"71,869,893","42,658",164.50,165.50,159.00,161.00,-,3.50,160.50,161.00
12,2409,友達,"68,649,732","16,411",17.20,17.45,17.10,17.35,+,0.30,17.35,17.40
13,3481,群創,"67,003,109","14,901",16.35,16.40,16.05,16.15,+,0.20,16.15,16.20
14,2330,台積電,"55,305,252","61,088",592.00,600.00,586.00,600.00,+,27.00,599.00,600.00
15,1727,中華化,"53,692,116","22,191",36.90,39.60,36.65,39.60,+,3.60,39.60,0.00
16,2328,廣宇,"49,619,005","25,662",42.15,43.50,41.55,43.50,+,2.60,43.45,43.50
17,2317,鴻海,"49,336,872","25,187",108.00,110.00,107.50,109.50,+,3.00,109.50,110.00
18,2882,國泰金,"45,639,270","15,738",57.20,58.50,57.10,58.30,+,1.70,58.20,58.30
19,2002,中鋼,"41,845,449","15,501",33.20,33.40,32.80,33.20,+,0.45,33.20,33.25
20,1605,華新,"38,536,375","13,929",24.90,25.75,24.80,25.20,+,0.90,25.20,25.25
