排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"373,217,652","15,587",5.79,5.82,5.75,5.79,+,0.07,5.79,5.80
2,2618,長榮航,"251,637,807","73,533",31.00,31.00,29.05,29.90,-,1.55,29.90,29.95
3,2610,華航,"180,694,512","54,997",24.00,24.20,22.90,23.35,-,1.15,23.35,23.40
4,3481,群創,"169,014,720","20,618",13.30,13.60,12.95,13.35,-,0.05,13.35,13.40
5,2303,聯電,"152,888,180","59,132",48.05,48.20,47.20,47.65,-,1.45,47.65,47.70
6,2603,長榮,"144,637,601","45,646",118.50,121.00,116.50,119.50,,0.00,119.50,120.00
7,2409,友達,"119,252,377","16,769",16.85,17.25,16.50,17.25,+,0.15,17.20,17.25
8,00637L,元大滬深300正2,"97,420,610","14,343",17.50,18.17,17.45,18.17,+,0.36,18.16,18.17
9,3037,欣興,"92,286,949","51,082",165.00,167.50,158.00,166.00,+,0.50,165.50,166.00
10,2888,新光金,"92,010,735","12,093",9.05,9.12,9.00,9.07,-,0.03,9.07,9.10
11,00878,國泰永續高股息,"91,280,631","51,629",17.10,17.14,17.00,17.08,-,0.17,17.08,17.09
12,2609,陽明,"77,260,077","30,454",115.50,120.00,115.50,119.50,+,2.50,119.50,120.00
13,2883,開發金,"73,969,738","18,091",15.00,15.20,15.00,15.15,-,0.10,15.15,15.20
14,2634,漢翔,"69,187,916","30,110",35.10,38.20,34.05,38.20,+,3.45,38.20,0.00
15,2305,全友,"67,338,948","23,688",19.00,19.85,17.40,17.40,-,1.45,17.40,17.45
16,1605,華新,"67,253,498","26,835",41.20,43.20,41.10,42.40,+,0.85,42.40,42.45
17,2886,兆豐金,"66,943,126","19,315",35.85,36.00,35.05,35.30,-,0.85,35.30,35.35
18,2834,臺企銀,"60,047,749","11,777",12.05,12.10,11.80,11.95,-,0.25,11.95,12.00
19,2891,中信金,"59,251,539","15,094",26.15,26.40,25.95,26.00,-,0.60,26.00,26.05
20,00664R,國泰臺灣加權反1,"57,455,935","1,754",6.55,6.59,6.52,6.55,+,0.07,6.55,6.56
